start_timestamp,end_timestamp,IR_mean,IR_variance,IR_std,US_TOF_us_mean,IR_distance_mean_cm
536,3338,154.85,1036.9275000000002,32.20135866698796,1126.0,37.1
3485,6288,145.45,506.24749999999995,22.499944444375856,1125.9,39.8
6435,9238,155.3,803.21,28.34095975791928,1126.05,36.65
9385,12188,157.1,714.99,26.73929692419006,1126.3,37.85
12336,15138,152.15,824.2275,28.70936258435565,1126.15,37.85
15286,18088,158.65,561.9275,23.70501001898122,1125.95,37.85
18236,21039,152.8,658.86,25.668268348293385,1126.35,39.0
21186,23989,148.5,422.45,20.553588494469768,1126.15,38.0
24136,26939,151.85,844.6274999999999,29.06247580644154,1125.85,37.25
27086,29889,147.5,1041.75,32.27615218702502,1126.75,37.55
