timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
536,135,40,1127,39
684,135,42,1123,38
831,186,42,1121,38
978,135,42,1121,39
1126,215,28,1127,38
1273,134,41,1127,39
1421,204,38,1127,38
1568,135,28,1127,38
1716,221,28,1126,38
1863,165,42,1127,38
2011,134,29,1127,38
2158,134,41,1126,38
2306,135,41,1127,38
2453,133,28,1127,39
2600,147,37,1127,39
2748,215,41,1126,39
2895,134,28,1126,39
3043,134,42,1127,38
3190,133,42,1127,39
3338,133,42,1127,38
3485,137,42,1127,38
3633,180,42,1126,38
3780,195,42,1127,38
3928,135,42,1127,38
4076,136,42,1127,39
4224,136,42,1127,39
4371,135,42,1127,38
4518,135,42,1121,38
4666,136,42,1121,39
4813,138,41,1121,38
4961,134,42,1127,38
5108,135,42,1127,38
5256,133,36,1127,39
5403,213,41,1127,39
5551,134,41,1126,39
5698,134,42,1127,38
5846,134,20,1126,38
5993,159,42,1127,38
6140,135,29,1127,39
6288,135,42,1126,39
6435,135,41,1126,39
6583,133,42,1127,39
6730,185,32,1126,38
6878,135,28,1126,38
7025,186,42,1127,39
7173,195,32,1127,38
7320,191,42,1127,38
7468,137,41,1127,39
7616,133,42,1127,38
7763,138,42,1126,38
7911,196,42,1126,38
8058,134,26,1120,38
8206,134,24,1121,38
8353,133,24,1127,39
8501,134,42,1127,38
8648,135,42,1126,38
8796,175,41,1127,38
8943,219,40,1127,39
9091,143,40,1127,38
9238,135,28,1127,38
9385,133,42,1127,39
9533,162,42,1127,39
9680,142,41,1127,39
9828,193,23,1127,38
9975,182,40,1126,38
10123,137,42,1127,39
10270,189,42,1127,38
10418,134,42,1127,38
10565,138,41,1127,38
10713,134,41,1127,39
10860,223,28,1127,38
11009,133,41,1126,39
11156,185,42,1127,39
11303,136,23,1121,39
11451,186,42,1121,38
11598,135,32,1127,38
11746,134,42,1127,38
11893,134,42,1127,38
12041,164,41,1127,39
12188,168,28,1127,38
12336,136,42,1127,38
12483,134,29,1127,38
12631,134,42,1127,38
12778,226,41,1127,38
12925,136,42,1127,39
13073,134,42,1127,39
13220,133,27,1126,38
13368,134,42,1127,38
13515,134,31,1126,38
13663,134,42,1127,39
13810,185,28,1127,39
13959,197,41,1127,39
14106,134,42,1127,38
14254,182,29,1121,39
14401,133,41,1120,39
14548,188,41,1127,38
14696,134,42,1126,38
14843,187,31,1127,38
14991,134,41,1126,38
15138,134,41,1127,38
15286,134,41,1127,38
15433,134,42,1126,39
15581,173,28,1126,38
15728,135,42,1127,38
15876,186,42,1127,39
16023,168,41,1127,39
16171,173,42,1127,38
16318,135,29,1127,38
16465,134,41,1127,38
16613,186,38,1127,38
16760,135,26,1127,38
16908,180,41,1127,38
17056,207,42,1127,38
17204,134,41,1126,39
17351,185,42,1121,38
17499,136,42,1121,39
17646,133,26,1121,39
17794,157,42,1127,38
17941,175,41,1127,39
18088,173,28,1127,38
18236,134,42,1127,39
18383,135,42,1127,38
18531,134,42,1127,39
18678,197,41,1127,39
18826,189,41,1127,39
18973,178,42,1127,38
19121,132,42,1127,39
19268,169,42,1127,38
19416,133,42,1127,38
19563,134,21,1127,38
19710,134,42,1127,38
19858,157,29,1127,38
20005,157,41,1126,38
20154,139,42,1127,38
20301,134,42,1127,39
20449,214,42,1127,38
20596,133,25,1121,38
20744,134,40,1121,39
20891,134,42,1127,38
21039,185,38,1127,39
21186,141,24,1127,38
21334,134,42,1126,38
21481,135,22,1127,39
21628,167,42,1127,39
21776,133,42,1127,38
21923,134,42,1127,39
22071,133,37,1127,38
22218,191,42,1127,38
22366,134,40,1127,38
22513,188,42,1127,38
22661,135,28,1127,38
22808,148,39,1126,39
22956,138,42,1127,38
23104,134,41,1127,39
23251,133,40,1127,39
23399,187,29,1124,38
23546,133,41,1121,39
23694,166,42,1121,38
23841,136,42,1127,39
23989,170,41,1127,38
24136,133,42,1127,38
24284,134,32,1127,38
24431,133,41,1127,38
24579,186,29,1127,38
24726,212,41,1127,39
24873,133,42,1126,38
25021,137,24,1126,38
25168,135,41,1127,38
25316,134,42,1127,38
25463,134,41,1127,39
25611,134,31,1127,38
25758,227,41,1127,38
25906,134,41,1127,38
26053,137,42,1126,38
26202,134,28,1127,38
26349,134,30,1127,38
26497,167,41,1120,38
26644,180,41,1121,38
26791,134,42,1120,38
26939,185,33,1127,38
27086,194,41,1127,39
27234,134,42,1127,38
27381,135,28,1127,38
27529,136,42,1127,38
27676,133,42,1127,38
27824,134,42,1126,38
27971,136,42,1126,38
28119,134,42,1127,38
28266,211,42,1127,38
28413,134,42,1126,38
28561,135,28,1126,38
28708,136,41,1127,38
28856,133,42,1127,39
29003,134,42,1127,38
29151,134,42,1127,38
29298,133,26,1127,39
29446,133,24,1127,38
29594,134,41,1127,38
29742,256,31,1127,38
29889,141,29,1126,38
30036,142,42,1121,38
30184,133,26,1120,38
30331,135,42,1121,38
30479,134,42,1126,38
