timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
541,276,15,1069,15
689,279,16,1068,15
836,278,18,1069,15
985,279,18,1069,15
1132,312,18,1069,15
1280,316,18,1068,15
1428,324,18,1069,15
1575,326,16,1069,15
1723,309,18,1069,15
1870,279,18,1069,15
2019,278,18,1063,15
2166,280,18,1069,15
2314,278,18,1069,15
2461,306,18,1069,15
2610,278,15,1068,15
2757,322,18,1069,15
2905,277,18,1069,15
3053,309,18,1069,15
3201,278,15,1069,15
3348,278,18,1069,15
3495,340,15,1069,15
3644,324,15,1069,15
3791,316,18,1069,15
3939,330,18,1069,15
4086,278,15,1069,15
4235,280,18,1063,15
4382,278,16,1069,15
4530,278,18,1069,15
4677,322,18,1069,15
4826,278,16,1069,15
4973,279,15,1069,15
5121,280,16,1069,15
5269,278,18,1069,15
5416,280,18,1069,15
5564,280,18,1069,15
5711,279,18,1069,15
5860,278,16,1063,15
6007,322,18,1069,15
6155,306,18,1069,15
6302,278,18,1069,15
6451,328,18,1069,15
6598,323,16,1069,15
6746,278,18,1069,15
6894,277,18,1069,15
7042,278,18,1069,15
7189,283,15,1069,15
7336,279,16,1069,15
7485,279,15,1069,15
7632,322,18,1069,15
7780,301,18,1069,15
7927,303,18,1069,15
8076,278,18,1069,15
8223,280,18,1069,15
8371,305,15,1069,15
8519,322,15,1069,15
8667,277,18,1069,15
8814,332,18,1069,15
8962,277,18,1068,15
9110,280,18,1069,15
9257,340,15,1069,15
9405,280,18,1069,15
9553,316,18,1069,15
9701,278,15,1069,15
9848,278,18,1069,15
9996,277,15,1069,15
10144,281,15,1063,15
10292,322,18,1069,15
10439,281,16,1069,15
10587,282,18,1069,15
10735,278,16,1069,15
10883,278,18,1069,15
11030,333,18,1069,15
11179,322,17,1069,15
11326,277,18,1069,15
11473,279,18,1069,15
11621,326,18,1069,15
11769,278,17,1069,15
11917,343,15,1069,15
12064,307,18,1069,15
12212,325,18,1069,15
12360,278,16,1063,15
12508,277,18,1069,15
12655,305,18,1069,15
12803,279,18,1069,15
12951,279,18,1069,15
13099,281,14,1069,15
13246,279,18,1068,15
13393,278,18,1069,15
13542,278,18,1069,15
13689,296,18,1069,15
13837,281,18,1069,15
13985,278,18,1069,15
14133,327,15,1069,15
14280,278,18,1069,15
14428,279,15,1068,15
14576,301,18,1069,15
14724,278,15,1069,15
14871,280,18,1069,15
15019,278,18,1069,15
15167,283,13,1069,15
15314,278,18,1068,15
15462,277,18,1069,15
15609,333,18,1069,15
15758,278,18,1069,15
15905,280,18,1069,15
16053,277,15,1069,15
16200,279,15,1069,15
16349,321,17,1063,15
16496,283,17,1069,15
16644,278,18,1068,15
16791,278,16,1069,15
16940,278,15,1062,15
17087,340,18,1069,15
17234,278,15,1069,15
17382,324,18,1069,15
17530,279,18,1065,15
17678,324,18,1069,15
17825,277,15,1068,15
17973,282,14,1069,15
18121,279,18,1069,15
18269,278,13,1069,15
18416,322,18,1069,15
18564,278,18,1069,15
18712,278,18,1068,15
18860,280,18,1069,15
19007,278,18,1069,15
19155,279,18,1069,15
19303,279,15,1068,15
19450,337,15,1069,15
19598,279,18,1068,15
19746,334,18,1069,15
19894,282,15,1069,15
20041,279,18,1069,15
20189,280,18,1069,15
20337,278,15,1069,15
20485,322,18,1069,15
20632,278,17,1069,15
20780,335,18,1069,15
20928,278,18,1069,15
21075,280,18,1069,15
21223,282,17,1069,15
21370,280,18,1069,15
21519,278,18,1069,15
21666,295,18,1069,15
21814,279,18,1069,15
21962,280,18,1069,15
22110,278,18,1069,15
22257,328,15,1069,15
22405,278,18,1069,15
22553,277,18,1063,15
22701,278,18,1069,15
22848,333,18,1069,15
22995,279,18,1069,15
23144,311,15,1069,15
23291,278,15,1069,15
23439,328,18,1069,15
23587,279,18,1069,15
23735,278,18,1069,15
23882,289,18,1069,15
24030,278,15,1069,15
24178,323,18,1069,15
24326,278,18,1069,15
24473,334,18,1069,15
24621,335,18,1069,15
24769,313,18,1066,15
24916,278,18,1069,15
25064,308,14,1069,15
25211,278,18,1069,15
25360,278,18,1064,15
25507,278,18,1069,15
25655,278,18,1069,15
25802,278,16,1069,15
25951,311,18,1069,15
26098,348,18,1069,15
26246,278,18,1069,15
26393,278,18,1069,15
26542,316,18,1069,15
26689,278,18,1068,15
26836,278,17,1068,15
26985,279,15,1069,15
27132,321,18,1068,15
27280,277,18,1069,15
27427,278,18,1068,15
27576,311,18,1069,15
27723,278,18,1068,15
27871,279,16,1069,15
28018,325,18,1069,15
28167,332,15,1069,15
28314,279,15,1069,15
28462,280,18,1069,15
28609,303,18,1069,15
28758,338,18,1069,15
28905,279,14,1068,15
29052,351,16,1069,15
29200,304,18,1069,15
29348,344,18,1069,15
29496,280,18,1069,15
29643,337,18,1069,15
29791,278,18,1069,15
29939,278,13,1063,15
30087,278,18,1069,15
30234,278,17,1069,15
30382,278,18,1069,15
30530,325,18,1069,15
