start_timestamp,end_timestamp,IR_mean,IR_variance,IR_std,US_TOF_us_mean,IR_distance_mean_cm
546,3351,299.15,272.72749999999996,16.514463357917506,1212.9,16.2
694,3499,300.75,301.6875,17.36915369268175,1213.2,16.4
841,3646,300.75,301.6875,17.36915369268175,1213.2,16.25
989,3794,300.85,299.92749999999995,17.318415054501955,1213.15,16.25
1136,3942,302.3,311.31,17.643979143039136,1212.85,16.25
1285,4089,300.6,204.04000000000002,14.284257068535277,1212.85,16.3
1432,4237,299.65,201.42749999999998,14.19251563324839,1212.8,16.15
1580,4384,300.2,198.76000000000002,14.098226838861688,1213.1,16.3
1727,4532,300.35,196.4275,14.015259540943221,1213.1,16.3
1874,4680,299.15,188.6275,13.734172708976686,1213.15,16.3
2022,4828,299.2,187.85999999999999,13.706202975295527,1212.85,16.25
2170,4975,299.2,187.85999999999999,13.706202975295527,1212.85,16.25
2318,5123,299.2,187.85999999999996,13.706202975295527,1213.15,16.2
2465,5270,300.55,203.0475,14.249473674490577,1213.15,16.2
2613,5417,300.85,199.0275,14.107710657651014,1213.15,16.25
2760,5565,300.85,199.0275,14.107710657651014,1213.15,16.25
2909,5713,300.8,199.96,14.140721339450828,1212.85,16.35
3056,5861,300.8,199.96,14.140721339450828,1212.85,16.35
3204,6008,300.95,197.4475,14.051601332232565,1213.15,16.35
3351,6156,301.0,196.5,14.017845768876187,1213.15,16.35
3499,6303,298.6,123.53999999999999,11.114854924829203,1213.15,16.25
3646,6451,297.15,86.92750000000002,9.323491835144171,1213.15,16.25
3794,6599,297.25,86.0875,9.278334979941175,1212.85,16.4
3942,6747,297.2,86.56000000000002,9.303762679690406,1212.55,16.35
4089,6894,296.2,59.96,7.743384273042376,1212.85,16.15
4237,7042,295.05,39.547500000000014,6.288680306709828,1212.85,15.95
4384,7189,295.05,39.547500000000014,6.288680306709828,1212.85,15.9
4532,7336,294.5,36.55,6.0456596000767355,1212.85,15.65
4680,7485,296.1,83.58999999999999,9.142756695876797,1212.85,15.4
