timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
528,302,21,1069,19
675,316,21,1068,19
824,243,21,1069,19
971,288,17,1069,19
1119,300,21,1069,19
1266,242,19,1069,19
1414,279,21,1069,19
1562,241,20,1068,19
1710,242,21,1069,19
1857,242,21,1069,19
2004,241,17,1068,19
2153,302,21,1069,19
2300,244,21,1069,19
2448,278,19,1069,19
2595,274,21,1068,19
2744,242,21,1068,19
2891,241,21,1068,19
3039,241,20,1068,19
3186,286,17,1068,19
3334,365,21,1069,19
3482,263,21,1063,19
3630,298,21,1068,19
3777,243,21,1068,19
3924,243,21,1068,19
4073,243,21,1069,19
4220,241,21,1068,19
4368,241,13,1069,19
4515,242,21,1068,19
4663,242,16,1068,19
4811,241,21,1068,19
4959,242,21,1068,19
5106,242,21,1068,19
5254,241,16,1069,19
5402,240,17,1069,19
5550,243,17,1068,19
5697,302,21,1068,19
5844,241,21,1068,19
5992,241,16,1068,19
6140,241,21,1068,19
6288,275,21,1068,19
6435,250,21,1068,19
6583,243,21,1069,19
6730,241,21,1069,19
6879,300,21,1068,19
7026,240,17,1069,19
7174,240,16,1068,19
7321,241,21,1068,19
7470,242,21,1069,19
7617,245,21,1069,19
7764,241,21,1068,19
7912,324,17,1068,19
8059,302,21,1068,19
8208,243,21,1062,19
8355,243,16,1068,19
8503,240,19,1068,19
8650,242,21,1069,19
8799,241,21,1068,19
8946,244,21,1068,19
9094,240,15,1069,19
9241,300,21,1068,19
9389,242,17,1068,19
9537,241,21,1062,19
9684,240,20,1069,19
9832,301,21,1068,19
9979,245,21,1068,19
10127,247,21,1069,19
10275,327,15,1068,19
10423,245,21,1068,19
10570,241,21,1069,19
10718,241,17,1068,19
10866,241,19,1069,19
11014,273,21,1069,19
11161,253,20,1069,19
11309,243,12,1068,19
11456,352,21,1069,19
11604,241,15,1063,19
11752,248,21,1068,19
11899,242,17,1069,19
12047,241,19,1068,19
12195,241,18,1069,19
12343,243,21,1068,19
12490,241,17,1068,19
12638,300,21,1068,19
12785,241,21,1068,20
12934,242,21,1068,19
13081,245,15,1068,19
13229,294,21,1068,19
13376,241,17,1068,19
13523,244,21,1069,19
13672,241,15,1068,19
13819,242,21,1068,19
13967,242,21,1068,19
14114,276,21,1069,19
14263,241,16,1069,19
14410,241,21,1068,19
14558,306,21,1068,19
14705,258,21,1068,19
14853,241,21,1068,19
15001,352,16,1068,19
15149,299,21,1068,19
15296,240,19,1068,19
15443,273,21,1069,19
15591,245,21,1068,19
15739,242,16,1069,19
15887,268,21,1068,19
16034,241,21,1069,19
16182,242,21,1068,19
16329,241,15,1068,19
16478,241,21,1068,19
16625,241,21,1068,19
16773,319,21,1068,19
16920,247,21,1068,19
17068,268,21,1068,19
17216,242,17,1068,19
17363,241,21,1069,19
17511,242,21,1068,19
17658,302,17,1068,19
17806,383,21,1068,19
17954,278,21,1068,19
18102,245,16,1069,19
18249,294,21,1068,19
18397,241,16,1068,19
18545,242,21,1068,19
18693,242,21,1068,19
18840,242,17,1069,19
18988,299,21,1068,19
19135,245,18,1069,19
19283,240,21,1068,19
19431,241,21,1068,19
19578,241,21,1068,19
19726,260,21,1069,19
19873,244,21,1068,19
20022,327,17,1063,19
20169,300,21,1069,19
20317,241,21,1069,19
20464,241,21,1068,19
20613,241,21,1069,19
20760,241,17,1069,19
20908,295,21,1068,19
21055,245,18,1069,19
21202,242,16,1068,19
21351,285,21,1062,19
21498,245,19,1068,19
21646,244,21,1068,20
21793,240,21,1068,19
21941,284,21,1068,19
22089,245,18,1069,19
22237,241,21,1068,19
22384,243,17,1068,19
22532,300,21,1068,19
22680,242,21,1068,19
22828,242,15,1069,19
22975,255,21,1068,19
23122,265,21,1069,19
23270,245,21,1068,19
23418,252,20,1068,19
23566,287,21,1069,19
23713,319,16,1068,19
23861,301,21,1069,19
24008,240,21,1069,19
24157,248,21,1062,19
24304,284,21,1069,19
24452,241,21,1068,19
24599,284,21,1069,19
24747,241,21,1068,19
24895,268,17,1068,19
25042,303,15,1068,19
25190,321,21,1068,19
25337,267,16,1068,19
25486,241,21,1069,19
25633,240,21,1068,19
25781,242,21,1068,19
25928,246,20,1069,19
26076,241,17,1068,19
26224,241,19,1069,19
26372,299,21,1068,19
26519,245,21,1069,19
26667,240,21,1068,19
26814,242,17,1069,19
26962,243,21,1062,19
27110,246,21,1069,19
27257,241,20,1069,19
27405,241,21,1068,19
27553,304,15,1068,19
27701,279,16,1068,19
27848,242,17,1069,19
27996,245,21,1068,19
28143,351,21,1068,19
28292,241,21,1068,19
28439,245,21,1068,19
28587,241,15,1068,19
28734,306,17,1068,19
28881,240,21,1068,19
29030,309,15,1063,19
29177,241,20,1069,19
29325,272,21,1068,19
29472,294,21,1069,19
29620,276,21,1069,19
29768,246,21,1068,19
29916,244,17,1068,19
30063,245,21,1068,19
30211,242,21,1069,19
30359,279,21,1068,19
30507,242,21,1068,19
