timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
512,242,21,1067,42
659,272,21,1066,43
805,240,18,1066,43
953,242,21,1066,42
1100,394,21,1066,42
1248,278,17,1066,43
1395,242,17,1066,43
1543,244,21,1067,42
1690,243,21,1066,42
1838,244,21,1067,42
1985,243,21,1067,43
2132,241,21,1067,43
2280,305,21,1066,43
2427,242,21,1066,43
2575,242,20,1066,43
2722,242,16,1066,42
2870,242,21,1066,43
3017,362,21,1066,43
3165,316,17,1067,42
3312,243,21,1067,43
3460,242,21,1066,43
3607,241,19,1066,43
3755,242,21,1066,43
3902,268,21,1067,43
4049,336,21,1067,43
4197,243,21,1067,43
4344,247,16,1066,43
4492,241,21,1066,43
4639,297,17,1066,43
4787,298,21,1066,43
4934,247,21,1066,43
5082,242,17,1061,42
5229,251,21,1061,43
5377,244,21,1066,43
5524,242,21,1066,43
5670,242,19,1066,42
5818,241,19,1066,43
5965,253,21,1066,43
6113,296,21,1066,43
6260,281,21,1066,43
6408,368,21,1066,42
6555,342,21,1067,43
6703,242,21,1066,43
6850,243,20,1066,43
6998,242,21,1066,42
7145,326,21,1067,43
7292,245,21,1067,43
7440,241,19,1066,43
7587,243,20,1066,43
7735,291,18,1067,43
7882,243,21,1067,43
8030,319,21,1066,43
8177,242,17,1066,43
8325,242,17,1067,42
8472,274,21,1067,43
8620,272,21,1066,42
8767,241,21,1067,43
8914,242,21,1067,42
9062,243,21,1067,42
9209,241,21,1066,42
9357,243,21,1066,43
9504,269,21,1064,42
9652,244,21,1060,42
9799,297,21,1066,42
9947,242,17,1066,42
10094,244,17,1067,42
10242,243,17,1066,42
10388,242,21,1066,42
10535,245,15,1066,42
10683,242,21,1067,42
10830,279,21,1066,42
10978,241,21,1067,43
11125,243,20,1066,42
11273,242,21,1067,42
11420,247,21,1066,42
11568,296,17,1067,42
11715,272,17,1066,43
11863,242,20,1066,42
12010,298,21,1066,42
12157,243,21,1067,42
12305,243,18,1066,42
12452,245,21,1066,42
12600,242,21,1066,42
12747,294,21,1067,43
12895,243,21,1067,42
13042,246,21,1067,42
13190,296,21,1066,42
13337,286,17,1067,42
13485,242,16,1066,42
13632,243,18,1066,42
13779,245,21,1067,42
13927,248,16,1066,42
14074,243,21,1067,42
14222,242,21,1066,42
14369,285,21,1060,42
14517,247,19,1064,42
14664,278,21,1066,43
14812,245,21,1066,42
14959,343,21,1066,43
15106,242,17,1067,42
15253,302,17,1067,43
15400,242,17,1067,42
15548,244,21,1067,42
15695,242,20,1067,42
15843,244,21,1067,42
15990,242,16,1066,42
16138,287,21,1066,42
16285,243,21,1066,42
16433,241,17,1066,42
16580,243,21,1066,42
16728,296,17,1066,42
16875,242,17,1067,42
17022,291,21,1066,42
17170,243,21,1067,42
17317,297,21,1067,42
17465,242,21,1066,42
17612,244,21,1067,42
17760,241,17,1067,42
17907,243,21,1066,42
18055,249,21,1067,42
18202,251,17,1067,42
18350,241,21,1067,42
18497,298,20,1067,42
18644,297,18,1066,43
18792,242,17,1067,42
18939,244,17,1067,42
19087,244,21,1067,42
19234,244,21,1067,42
19382,282,21,1066,42
19529,266,21,1066,42
19677,270,21,1066,42
19824,243,17,1067,43
19972,319,21,1066,42
20119,245,21,1066,42
20267,242,18,1066,43
20414,273,21,1066,42
20561,340,18,1066,42
20709,244,17,1061,42
20856,244,21,1060,42
21004,277,21,1067,42
21151,242,21,1067,42
21299,242,21,1066,42
21446,242,21,1067,42
21593,242,20,1066,42
21740,272,21,1067,42
21888,243,21,1066,42
22035,241,16,1067,42
22182,241,16,1066,42
22330,298,21,1066,42
22477,244,21,1066,42
22625,242,19,1066,43
22772,241,21,1066,42
22920,242,18,1066,42
23067,241,21,1066,42
23215,268,21,1067,42
23362,269,18,1066,42
23510,251,21,1066,42
23657,242,18,1067,42
23804,297,21,1066,42
23952,299,21,1067,42
24099,244,21,1067,42
24247,307,17,1067,42
24394,242,21,1067,42
24542,293,21,1067,42
24689,243,21,1066,42
24837,243,17,1067,42
24984,248,21,1066,42
25132,244,21,1066,42
25279,242,21,1066,42
25426,242,21,1067,42
25574,311,19,1066,42
25721,297,21,1061,42
25869,242,17,1066,42
26016,241,21,1066,43
26164,243,20,1066,42
26310,241,21,1066,42
26458,301,21,1066,42
26605,242,21,1067,42
26753,297,21,1066,42
26900,241,21,1066,42
27047,241,21,1066,42
27195,298,21,1067,42
27342,297,17,1066,42
27490,274,17,1066,42
27637,244,21,1066,42
27785,243,17,1066,43
27932,242,21,1066,42
28080,299,21,1066,42
28227,279,21,1067,42
28375,242,16,1066,42
28522,244,21,1066,42
28669,240,21,1066,42
28817,244,21,1066,42
28964,242,17,1066,42
29112,304,17,1067,42
29259,241,21,1066,42
29407,243,21,1067,42
29554,242,20,1066,42
29702,244,21,1067,42
29849,312,21,1067,43
29997,242,21,1066,42
30144,246,21,1066,43
30291,243,21,1066,42
30439,276,21,1060,43
