timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
514,293,20,1213,31
661,303,20,1214,31
808,295,16,1213,31
956,309,20,1214,31
1103,306,20,1214,31
1252,254,20,1214,31
1399,284,20,1208,31
1547,284,20,1207,31
1694,255,20,1213,31
1842,254,16,1213,31
1989,254,20,1213,31
2137,255,20,1213,31
2284,256,20,1213,31
2432,254,20,1213,31
2579,314,20,1214,31
2727,258,20,1214,31
2875,258,20,1207,31
3022,323,20,1208,32
3170,256,20,1214,31
3317,258,20,1213,32
3465,258,16,1213,32
3612,257,16,1213,32
3760,255,16,1214,32
3907,261,20,1213,32
4055,309,20,1213,32
4203,305,20,1214,32
4350,309,20,1208,32
4498,258,20,1207,32
4645,255,20,1214,32
4793,258,17,1213,32
4940,257,20,1214,32
5088,285,20,1213,32
5235,290,20,1214,32
5383,254,20,1213,32
5530,255,16,1214,32
5678,255,20,1213,32
5826,255,20,1213,32
5974,261,20,1207,32
6121,255,20,1207,32
6268,255,20,1213,32
6416,258,20,1213,32
6563,259,20,1214,32
6711,259,20,1214,32
6858,257,19,1213,32
7006,258,20,1214,32
7153,261,19,1214,32
7301,257,16,1213,33
7449,257,16,1214,33
7597,304,16,1207,33
7744,255,20,1207,33
7891,305,20,1214,33
8039,308,16,1214,33
8186,306,20,1214,33
8334,309,16,1213,33
8481,309,20,1213,33
8629,256,20,1213,33
8776,255,20,1214,33
8924,258,20,1213,33
9071,254,20,1213,33
9220,261,20,1213,33
9367,261,19,1207,33
9515,253,20,1207,33
9662,313,20,1214,33
9809,259,19,1214,33
9957,310,20,1213,33
10104,256,20,1214,33
10252,258,20,1213,33
10399,259,16,1213,33
10547,258,20,1213,33
10694,258,20,1213,33
10842,314,20,1213,33
10990,254,16,1213,33
11138,259,20,1208,33
11285,258,20,1207,33
11432,310,20,1210,33
11580,316,20,1213,33
11727,316,20,1214,33
11875,254,19,1213,34
12022,255,20,1213,33
12170,324,20,1214,33
12317,258,16,1214,34
12465,254,16,1214,33
12612,254,16,1213,33
12761,254,16,1213,33
12908,258,16,1213,33
13056,302,20,1207,33
13203,307,20,1207,33
13350,309,20,1207,33
13498,307,20,1214,33
13645,260,20,1213,33
13793,358,20,1214,33
13940,305,20,1213,33
14088,253,16,1213,33
14235,257,20,1213,34
14383,256,20,1213,33
14530,259,20,1213,34
14678,260,20,1213,34
14826,253,19,1213,33
14973,256,20,1214,34
15121,257,20,1207,34
15268,260,20,1207,34
15416,283,20,1207,34
15563,259,20,1213,34
15711,258,20,1213,34
15858,257,20,1213,34
16006,258,20,1214,34
16153,282,19,1213,34
16301,259,20,1214,34
16448,258,20,1213,34
16595,261,20,1213,34
16743,259,20,1213,34
16890,287,20,1213,34
17039,261,18,1213,34
17186,259,20,1213,34
17334,254,20,1207,34
17481,262,19,1207,34
17629,310,20,1207,34
17776,267,20,1213,34
17924,256,20,1213,34
18071,284,20,1213,34
18219,258,20,1213,34
18366,289,18,1213,34
18513,260,20,1213,34
18661,257,18,1213,34
18808,254,20,1214,34
18956,311,20,1213,34
19103,258,20,1213,34
19251,259,20,1214,34
19399,258,20,1213,34
19547,255,20,1214,34
19694,261,20,1207,34
19842,259,20,1207,34
19989,259,20,1207,34
20136,257,20,1214,34
20284,321,19,1213,34
20431,254,20,1214,34
20579,254,16,1213,34
20726,255,20,1213,34
20874,257,20,1213,34
21021,259,20,1214,34
21169,290,20,1214,34
21316,258,20,1213,34
21464,253,16,1213,34
21612,256,20,1213,34
21760,259,18,1213,34
21907,310,19,1207,34
22054,263,19,1207,34
22202,255,20,1207,34
22349,291,20,1213,34
22497,254,20,1214,34
22644,257,20,1213,34
22792,254,20,1213,34
22939,253,20,1213,35
23087,253,18,1213,34
23234,255,18,1213,34
23382,283,20,1213,34
23529,254,20,1213,34
23676,254,16,1213,35
23824,258,15,1213,34
23971,304,20,1213,34
24120,254,18,1214,34
24267,255,20,1214,34
24415,275,20,1207,34
24562,254,20,1207,34
24710,260,20,1207,34
24857,258,20,1214,35
25005,261,16,1213,34
25152,262,16,1213,35
25299,312,16,1213,34
25447,260,20,1213,34
25594,259,16,1213,34
25742,259,16,1213,34
25889,260,16,1213,35
26037,258,16,1213,35
26184,257,16,1213,34
26332,312,16,1213,34
26479,294,20,1213,34
26628,259,16,1213,34
26775,258,16,1213,34
26923,254,16,1207,34
27070,311,20,1207,35
27217,308,17,1208,34
27365,306,20,1214,34
27512,309,20,1214,34
27660,373,20,1213,35
27807,366,20,1213,35
27955,252,16,1213,34
28102,315,20,1213,35
28250,258,19,1213,35
28397,260,17,1214,34
28545,297,19,1213,35
28692,310,16,1213,35
28839,319,20,1213,34
28988,257,20,1213,35
29135,284,20,1213,34
29283,264,16,1207,35
29430,260,20,1207,35
29578,312,17,1207,34
29725,318,20,1213,34
29873,253,20,1213,34
30020,258,16,1213,34
30168,258,20,1213,35
30315,258,20,1213,35
30462,302,20,1213,35
