timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
514,258,18,1936,57
661,258,20,1936,57
808,260,20,1936,57
956,261,16,1936,57
1103,259,20,1936,57
1251,258,20,1935,57
1398,258,19,1936,57
1546,260,20,1936,57
1693,258,20,1936,57
1841,303,17,1942,57
1988,258,20,1939,57
2135,325,16,1935,57
2282,258,20,1936,57
2429,259,20,1936,57
2577,260,20,1936,56
2724,288,20,1936,57
2872,257,20,1936,57
3019,260,15,1936,57
3167,258,18,1936,57
3314,258,20,1936,57
3462,315,20,1936,56
3609,317,20,1936,56
3757,303,20,1936,57
3904,263,13,1936,57
4051,259,20,1935,57
4199,261,20,1936,57
4346,319,20,1942,57
4494,258,16,1936,57
4640,261,16,1936,56
4788,261,17,1935,57
4935,257,16,1936,56
5083,257,20,1936,56
5230,258,20,1936,57
5378,257,20,1936,57
5525,304,20,1936,57
5672,303,14,1936,56
5820,257,17,1936,57
5967,258,19,1935,56
6115,258,15,1936,56
6262,258,20,1936,57
6410,263,15,1936,57
6557,259,20,1935,57
6705,259,20,1936,57
6852,259,20,1936,56
7000,260,20,1942,56
7147,256,20,1936,56
7293,260,15,1936,56
7441,371,20,1936,57
7588,301,16,1936,56
7736,268,15,1936,56
7883,259,17,1936,56
8031,257,19,1936,56
8178,257,19,1936,57
8326,263,20,1936,57
8473,261,20,1936,56
8621,291,19,1936,57
8768,257,20,1936,56
8915,295,20,1936,56
9063,257,20,1936,56
9210,303,20,1936,56
9358,303,20,1936,56
9505,303,19,1942,56
9653,258,20,1942,56
9799,259,20,1936,56
9947,259,20,1936,56
10094,260,19,1935,56
10242,259,20,1936,57
10389,259,20,1936,55
10536,259,20,1936,56
10684,260,20,1936,55
10831,259,20,1936,56
10979,257,15,1936,56
11126,257,16,1936,56
11274,301,20,1936,56
11421,302,19,1936,56
11569,259,19,1936,56
11716,258,17,1936,56
11864,259,20,1936,57
12011,292,19,1936,57
12158,259,20,1942,57
12306,258,17,1935,57
12452,261,19,1935,57
12600,319,20,1935,57
12747,258,20,1936,57
12895,264,15,1935,57
13042,257,17,1936,57
13190,300,20,1936,57
13337,258,17,1936,57
13485,260,17,1936,57
13632,334,20,1936,57
13779,258,16,1935,57
13927,258,20,1936,57
14074,259,15,1936,56
14222,260,20,1936,57
14369,258,17,1942,57
14517,276,20,1941,57
14663,256,20,1935,57
14811,328,20,1935,57
14958,303,20,1935,57
15106,260,17,1936,57
15253,259,14,1935,57
15400,328,20,1936,57
15548,258,16,1936,57
15695,257,17,1936,57
15843,258,20,1935,57
15990,262,20,1936,57
16138,259,20,1936,57
16285,257,20,1936,57
16433,259,20,1935,57
16580,257,17,1936,57
16728,320,20,1936,57
16875,258,20,1942,57
17021,380,20,1935,57
17169,257,16,1936,57
17316,302,20,1936,57
17464,283,20,1936,57
17611,259,20,1935,57
17759,257,19,1936,57
17906,258,20,1935,57
18054,315,20,1936,57
18201,256,20,1936,57
18349,257,19,1936,57
18496,258,20,1936,57
18643,260,20,1936,57
18791,301,18,1936,57
18938,260,17,1935,57
19086,259,19,1942,57
19233,258,15,1942,57
19380,316,20,1936,57
19527,298,20,1936,57
19675,260,19,1936,57
19822,260,20,1936,57
19970,308,20,1936,57
20117,258,18,1936,57
20264,313,20,1936,57
20412,257,17,1935,57
20559,303,20,1935,57
20707,302,17,1936,57
20854,258,17,1936,57
21002,259,17,1936,57
21149,274,20,1936,57
21297,258,16,1936,57
21444,260,16,1942,57
21592,264,20,1942,57
21738,306,20,1936,57
21885,259,20,1936,57
22033,257,16,1935,57
22180,259,20,1936,57
22328,302,20,1936,57
22475,256,20,1935,57
22623,335,20,1935,56
22770,258,20,1936,56
22918,327,16,1936,56
23065,257,20,1935,56
23213,324,20,1935,57
23360,257,20,1936,57
23507,260,15,1935,57
23655,259,20,1935,57
23802,257,20,1941,57
23949,271,20,1935,57
24096,294,19,1936,57
24244,300,20,1936,57
24391,258,20,1936,57
24539,378,20,1936,57
24686,301,15,1936,57
24834,259,17,1936,57
24981,258,17,1936,57
25128,258,15,1936,57
25276,298,20,1936,57
25423,258,17,1935,57
25571,257,20,1936,57
25718,259,20,1936,57
25866,310,20,1936,57
26013,257,18,1936,57
26161,259,20,1941,57
26308,256,17,1942,57
26455,263,15,1935,57
26602,263,17,1936,57
26749,302,17,1936,57
26897,258,17,1936,57
27044,290,20,1936,57
27192,316,20,1936,57
27339,294,20,1935,57
27487,259,15,1935,57
27634,263,19,1936,57
27782,259,20,1936,57
27929,258,20,1935,57
28077,258,20,1936,57
28224,257,19,1936,57
28371,257,20,1936,57
28519,332,20,1936,57
28666,323,20,1942,57
28814,256,20,1942,57
28960,301,17,1936,57
29108,258,17,1935,57
29255,257,14,1936,57
29403,258,17,1936,57
29550,258,17,1936,57
29698,262,20,1936,57
29845,295,20,1936,57
29992,257,20,1936,57
30140,258,20,1936,56
30287,259,20,1936,56
30435,257,20,1936,57
