timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
525,292,19,1069,16
672,264,15,1069,16
820,260,20,1069,16
967,297,15,1069,16
1116,269,13,1069,16
1263,298,15,1069,16
1411,260,16,1069,15
1558,328,14,1069,16
1707,259,16,1069,16
1854,263,14,1069,16
2001,322,19,1069,16
2150,396,16,1069,16
2297,324,19,1069,16
2445,264,19,1069,16
2592,325,19,1069,16
2741,383,15,1063,16
2888,336,16,1069,16
3036,313,17,1069,16
3183,322,19,1069,16
3332,423,19,1069,16
3479,310,19,1069,15
3627,324,19,1069,16
3775,351,20,1069,16
3922,319,19,1069,16
4070,334,20,1069,16
4217,385,17,1069,16
4366,316,20,1069,16
4513,321,18,1069,15
4661,288,19,1069,16
4809,258,20,1069,16
4957,260,20,1069,15
5104,267,13,1069,16
5252,262,17,1069,16
5400,259,20,1068,16
5548,260,20,1069,16
5695,259,16,1069,16
5843,259,20,1069,16
5991,269,19,1069,16
6138,259,18,1069,16
6286,259,20,1069,15
6434,273,19,1063,16
6582,295,19,1069,16
6729,288,19,1069,16
6877,289,19,1069,15
7025,254,20,1069,16
7173,271,14,1069,15
7320,268,19,1069,16
7469,300,19,1069,16
7616,266,19,1069,16
7763,290,19,1069,16
7911,259,19,1069,15
8059,261,20,1069,16
8207,283,20,1069,16
8354,260,19,1069,16
8502,264,19,1069,15
8650,276,19,1069,16
8798,295,19,1069,16
8945,264,19,1069,16
9094,267,19,1068,15
9241,263,15,1069,16
9389,260,20,1069,16
9536,256,20,1068,16
9684,262,17,1069,15
9832,263,17,1069,16
9979,264,16,1069,16
10127,263,19,1069,16
10275,259,20,1069,16
10423,264,19,1069,16
10570,319,20,1069,16
10718,256,20,1069,16
10866,259,20,1069,16
11014,275,19,1069,15
11161,264,19,1069,16
11310,261,20,1069,16
11457,261,20,1069,16
11604,265,19,1069,16
11752,259,16,1069,16
11900,260,20,1069,16
12048,267,16,1069,16
12195,259,20,1069,16
12343,263,14,1069,16
12491,263,19,1069,15
12639,263,19,1069,16
12786,303,17,1069,16
12935,265,19,1069,15
13082,263,13,1069,16
13230,291,18,1069,16
13377,275,19,1069,15
13526,260,15,1065,16
13673,264,19,1069,15
13820,267,15,1069,15
13968,259,13,1069,16
14116,267,15,1068,16
14264,259,20,1069,16
14411,313,15,1069,16
14560,308,15,1069,16
14707,264,15,1069,15
14855,267,19,1069,16
15002,263,15,1069,16
15151,263,15,1069,16
15298,273,14,1069,16
15446,267,12,1068,16
15593,255,15,1069,16
15741,309,15,1063,16
15889,267,19,1069,16
16036,321,16,1069,16
16184,321,19,1069,16
16332,313,16,1069,16
16480,432,19,1069,16
16627,322,19,1069,16
16775,317,19,1069,16
16923,264,19,1069,16
17071,379,15,1069,16
17218,326,19,1069,15
17367,317,20,1068,16
17514,282,16,1069,16
17661,258,19,1069,16
17809,348,20,1069,15
17957,262,19,1069,16
18105,256,20,1069,15
18252,265,14,1069,16
18401,265,20,1069,16
18548,260,17,1069,15
18696,284,19,1069,16
18843,262,19,1069,15
18992,264,19,1063,16
19139,259,20,1069,16
19287,263,19,1069,16
19434,335,20,1069,16
19582,316,19,1069,16
19730,260,20,1069,16
19877,263,19,1069,16
20026,261,20,1069,16
20173,263,19,1069,16
20321,263,17,1069,16
20468,318,20,1069,16
20617,304,20,1063,16
20764,256,20,1069,16
20912,296,19,1069,16
21059,267,19,1069,16
21208,256,20,1069,15
21355,268,19,1069,16
21502,266,14,1069,16
21650,264,13,1069,15
21798,266,19,1069,16
21946,271,19,1069,15
22093,260,19,1069,16
22242,354,19,1069,16
22389,269,18,1069,16
22537,267,17,1069,16
22684,265,19,1069,16
22833,267,15,1063,15
22980,254,20,1069,15
23128,263,19,1069,16
23275,282,20,1069,16
23424,268,19,1069,16
23571,269,12,1069,16
23718,269,11,1069,16
23867,345,19,1063,16
24014,322,19,1069,15
24162,324,19,1069,15
24309,259,20,1069,16
24458,316,19,1069,16
24605,332,19,1069,16
24753,265,19,1069,16
24901,263,19,1069,16
25049,266,15,1069,16
25196,259,20,1069,16
25344,262,19,1068,16
25492,256,20,1069,16
25639,261,20,1069,16
25787,338,19,1069,16
25935,380,19,1069,16
26083,259,17,1069,16
26230,264,19,1069,15
26378,263,19,1069,15
26526,264,19,1063,16
26674,302,19,1069,16
26821,288,19,1069,16
26969,262,19,1069,16
27117,332,20,1069,16
27265,260,20,1069,16
27412,263,18,1069,16
27560,271,19,1069,15
27708,264,18,1069,16
27855,274,14,1069,16
28003,268,13,1069,16
28151,256,14,1069,15
28299,263,19,1069,16
28446,325,17,1069,16
28594,396,19,1069,16
28742,322,19,1069,16
28890,323,19,1069,16
29037,317,18,1069,15
29186,326,19,1069,16
29333,269,19,1069,16
29480,255,20,1069,15
29628,262,19,1069,16
29776,259,19,1068,16
29924,260,20,1069,16
30071,257,20,1069,16
30219,265,14,1068,16
30367,267,19,1069,16
30515,263,19,1069,16
