start_timestamp,end_timestamp,IR_mean,IR_variance,IR_std,US_TOF_us_mean,IR_distance_mean_cm
547,3354,324.3,564.01,23.748894711122873,923.25,15.1
3502,6308,326.5,532.85,23.083543922023757,923.15,15.15
6456,9262,330.65,624.4275,24.988547376748414,922.95,15.4
9409,12216,330.4,731.94,27.05438966230804,922.7,15.4
12363,15169,324.35,503.62750000000005,22.441646552782174,922.35,15.7
15316,18122,336.05,977.4475,31.264156793363227,922.7,14.9
18271,21076,299.65,453.62749999999994,21.298532813318385,966.55,16.3
21224,24030,272.85,865.4275,29.418149159999853,1053.45,19.1
24177,26984,253.1,396.28999999999996,19.90703393275854,1068.45,20.25
27131,29938,258.55,659.5475,25.681656878013147,1068.45,20.1
