timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
547,361,16,922,11
696,308,16,929,12
843,309,13,923,12
991,312,13,922,12
1138,331,14,923,12
1287,309,16,928,12
1434,311,16,922,11
1582,308,16,922,12
1729,308,14,923,12
1876,354,16,922,12
2025,308,15,923,12
2172,376,13,922,12
2320,369,16,922,12
2467,311,16,922,12
2616,308,16,923,11
2763,310,16,923,11
2911,315,16,922,12
3058,309,16,922,11
3207,309,14,928,12
3354,360,14,922,12
3502,359,16,923,12
3649,319,16,922,11
3798,310,16,928,12
3945,308,16,923,12
4092,309,14,922,12
4240,308,14,922,12
4388,357,16,926,12
4536,315,16,922,12
4683,308,13,923,12
4831,354,16,922,12
4978,313,16,922,12
5127,309,15,922,11
5274,310,14,923,12
5422,353,16,923,11
5569,308,14,923,12
5718,343,13,922,12
5865,346,16,923,12
6012,311,16,922,12
6160,382,16,922,12
6308,308,14,928,12
6456,361,16,923,12
6603,385,14,922,12
6751,310,16,922,12
6899,333,16,928,12
7047,304,14,922,12
7194,358,16,922,11
7342,309,14,922,12
7489,353,15,922,12
7638,363,15,922,12
7785,310,16,923,12
7932,307,13,923,12
8080,307,16,922,12
8228,309,16,922,12
8376,357,16,922,12
8523,357,16,922,12
8671,324,15,922,12
8819,309,16,929,11
8967,310,16,923,12
9114,312,16,923,12
9262,335,16,923,12
9409,347,16,922,12
9558,343,14,922,12
9705,359,14,922,12
9852,311,16,922,12
10000,341,16,923,12
10148,372,13,922,12
10296,308,15,922,12
10443,311,14,922,12
10591,358,16,922,12
10739,304,16,928,12
10887,310,16,922,12
11034,305,16,922,12
11182,304,14,922,12
11329,334,16,923,12
11478,310,16,922,12
11625,331,16,922,12
11772,405,16,922,12
11920,308,16,922,12
12068,339,16,928,12
12216,308,16,922,12
12363,309,16,922,12
12511,312,15,922,11
12658,308,16,922,11
12807,325,14,922,12
12954,364,16,922,12
13102,308,16,922,12
13249,309,16,922,12
13396,316,16,922,12
13545,309,16,922,12
13692,310,16,922,12
13840,309,16,922,12
13987,309,15,922,12
14136,313,14,922,12
14283,374,16,922,12
14431,348,16,922,12
14578,313,16,922,11
14726,312,16,922,12
14874,315,16,929,12
15022,361,16,922,12
15169,363,16,922,11
15316,367,16,922,12
15464,309,12,922,12
15612,425,14,922,12
15760,332,16,922,12
15907,307,16,922,12
16055,309,16,922,12
16203,309,13,928,12
16351,372,14,922,12
16498,367,16,922,12
16646,311,14,922,12
16793,357,15,922,12
16942,312,14,922,12
17089,312,16,922,12
17236,309,16,922,11
17384,343,14,922,12
17532,350,16,929,12
17680,311,14,922,12
17827,348,16,922,12
17975,362,14,923,12
18122,309,16,922,12
18271,358,15,923,12
18418,304,14,922,12
18566,301,13,922,12
18713,297,14,922,12
18862,300,17,928,12
19009,300,17,922,12
19156,298,17,922,12
19304,351,17,922,12
19451,308,16,922,11
19600,300,15,923,12
19747,301,17,922,12
19895,300,14,922,12
20042,288,18,922,12
20191,283,18,928,12
20338,294,17,1068,13
20486,309,18,1068,15
20633,278,18,1068,15
20782,274,18,1068,15
20929,276,18,1069,15
21076,273,15,1068,15
21224,270,19,1068,15
21371,273,14,1068,15
21520,270,19,1068,17
21667,271,15,1068,16
21815,324,19,1068,18
21962,264,16,922,14
22110,340,16,922,13
22257,306,21,1067,30
22406,270,21,1062,16
22553,239,21,1069,15
22701,318,22,1069,14
22848,274,21,1068,15
22995,243,19,1069,14
23144,242,17,1068,14
23291,293,21,1069,14
23439,244,21,1069,14
23586,246,19,1069,14
23735,242,19,1068,14
23882,243,21,1069,14
24030,285,21,1069,14
24177,294,20,1069,14
24326,242,21,1069,14
24473,271,21,1069,14
24621,238,21,1068,14
24768,244,21,1069,14
24916,239,22,1069,14
25064,292,19,1069,14
25211,240,21,1069,14
25359,238,22,1068,14
25507,239,21,1068,14
25655,277,21,1069,14
25802,251,17,1068,14
25950,242,17,1069,14
26098,240,22,1068,14
26246,244,20,1069,14
26393,238,19,1069,14
26541,246,21,1069,14
26689,246,17,1063,14
26836,245,21,1069,14
26984,296,21,1069,14
27131,241,21,1069,13
27280,244,21,1063,13
27427,244,21,1068,14
27575,242,21,1068,14
27722,244,17,1069,14
27871,268,21,1069,13
28018,238,22,1069,14
28166,239,21,1069,13
28313,307,17,1069,13
28462,244,21,1069,14
28609,243,21,1069,13
28756,296,21,1068,14
28904,322,21,1069,14
29052,241,22,1069,13
29200,246,21,1069,14
29347,264,22,1068,14
29495,239,21,1069,14
29643,287,17,1069,14
29791,285,18,1069,14
29938,237,15,1068,14
30086,234,22,1068,14
30233,238,21,1069,14
30382,242,21,1069,14
30529,325,17,1069,14
