timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
548,256,20,1215,16
697,276,20,1209,16
844,308,21,1215,16
992,262,19,1215,16
1139,257,16,1215,16
1288,246,21,1209,16
1435,317,17,1215,16
1583,244,21,1215,16
1731,320,20,1215,16
1879,265,20,1209,16
2026,257,15,1215,16
2173,298,20,1215,16
2322,264,15,1215,16
2469,311,20,1215,16
2617,261,19,1215,16
2764,378,20,1215,16
2913,263,19,1215,16
3060,261,15,1215,16
3208,267,19,1215,16
3355,249,14,1215,16
3504,251,20,1209,16
3651,251,20,1215,16
3799,257,20,1215,16
3946,322,20,1215,16
4094,320,19,1209,16
4242,245,18,1215,16
4389,261,19,1215,16
4537,257,19,1215,16
4685,254,16,1208,16
4833,319,20,1215,16
4980,260,15,1215,16
5128,249,20,1215,16
5276,326,20,1209,16
5424,262,16,1215,16
5571,261,20,1215,16
5719,263,19,1215,16
5867,280,14,1209,16
6014,263,19,1215,16
6162,244,21,1215,16
6309,268,19,1215,16
6458,257,20,1209,16
6605,263,20,1215,16
6753,253,16,1215,16
6900,262,15,1215,16
7049,252,20,1209,16
7196,258,20,1215,16
7344,302,19,1215,16
7491,317,17,1215,16
7640,262,19,1209,16
7787,263,19,1215,16
7934,256,20,1215,16
8082,249,16,1215,16
8230,267,18,1209,16
8378,256,20,1215,16
8525,245,21,1215,16
8673,250,16,1215,16
8821,313,18,1209,16
8969,257,20,1215,16
9116,253,20,1215,16
9265,267,19,1215,16
9412,315,16,1215,16
9560,257,20,1215,16
9707,306,20,1215,16
9856,246,21,1215,16
10003,257,16,1215,16
10150,260,19,1215,16
10298,257,20,1215,16
10446,264,19,1213,16
10594,331,19,1214,16
10741,313,19,1215,16
10889,254,20,1215,16
11037,249,16,1209,16
11185,261,19,1215,16
11332,319,16,1215,16
11480,261,20,1215,16
11628,333,20,1209,16
11776,314,20,1215,16
11923,258,20,1214,16
12070,329,19,1215,16
12219,260,14,1209,16
12366,255,20,1215,16
12514,259,20,1215,16
12661,253,16,1215,16
12810,252,20,1209,16
12957,260,19,1215,16
13105,261,15,1215,16
13252,267,14,1215,16
13401,312,16,1209,16
13548,264,17,1215,16
13696,267,19,1214,16
13843,258,20,1215,16
13991,275,16,1209,16
14139,279,20,1215,16
14286,261,17,1215,16
14434,257,20,1215,16
14582,260,20,1209,16
14730,257,17,1215,16
14877,284,15,1215,16
15026,257,18,1215,16
15173,249,16,1209,16
15321,267,19,1215,16
15468,248,20,1215,16
15617,265,20,1215,16
15764,260,16,1215,16
15911,325,19,1215,16
16059,346,20,1215,16
16207,252,15,1215,16
16355,261,18,1215,16
16502,258,20,1215,16
16650,307,20,1215,16
16798,253,20,1209,16
16946,262,16,1215,16
17093,257,15,1215,16
17241,266,14,1215,16
17389,308,20,1209,16
17537,254,17,1215,16
17684,323,14,1215,16
17831,282,20,1215,16
17980,318,16,1209,16
18127,254,20,1215,16
18275,257,20,1215,16
18422,266,19,1215,16
18571,262,19,1209,16
18718,251,20,1215,16
18866,260,15,1215,16
19014,246,18,1215,16
19162,313,16,1209,16
19309,352,20,1215,16
19457,262,19,1215,16
19605,299,19,1215,16
19752,265,17,1209,16
19900,260,16,1215,16
20047,282,20,1215,16
20196,293,20,1215,16
20343,283,20,1215,16
20491,257,13,1215,16
20638,312,16,1215,16
20787,306,20,1209,16
20934,256,17,1215,16
21082,256,20,1215,16
21229,319,20,1215,16
21378,270,20,1209,16
21525,258,20,1215,16
21672,260,19,1215,16
21820,256,16,1215,16
21968,317,20,1209,16
22116,315,17,1215,16
22263,332,19,1215,16
22411,298,20,1215,16
22559,325,15,1208,16
22707,250,20,1215,16
22854,261,20,1215,16
23003,260,19,1215,16
23150,258,14,1209,16
23298,256,17,1215,16
23445,253,15,1215,16
23593,250,15,1215,16
23741,246,21,1209,16
23888,323,19,1215,16
24036,263,19,1215,16
24184,257,20,1215,16
24332,260,19,1215,16
24479,316,16,1215,16
24627,257,20,1215,16
24775,253,20,1215,16
24923,253,20,1215,16
25070,297,16,1215,16
25218,255,20,1215,16
25366,265,16,1209,16
25513,259,20,1215,16
25661,258,17,1215,16
25808,259,20,1215,16
25957,285,20,1209,16
26104,261,18,1215,16
26252,262,18,1215,16
26400,351,20,1215,16
26548,264,19,1215,16
26695,283,20,1215,16
26843,249,20,1215,16
26991,312,20,1209,16
27139,293,19,1215,16
27286,254,20,1215,16
27433,257,20,1215,16
27582,253,14,1209,16
27729,265,15,1215,16
27877,254,20,1215,16
28024,266,19,1215,16
28173,306,19,1208,16
28320,315,18,1215,16
28468,253,18,1215,16
28615,253,16,1216,16
28764,265,19,1209,16
28911,339,16,1215,16
29059,260,20,1215,16
29207,258,20,1215,16
29355,249,18,1209,16
29502,253,16,1215,16
29649,258,20,1215,16
29798,260,19,1215,16
29945,325,20,1215,16
30093,260,20,1215,16
30240,256,20,1216,16
30389,253,18,1214,16
30536,315,15,1215,16
