start_timestamp,end_timestamp,IR_mean,IR_variance,IR_std,US_TOF_us_mean,IR_distance_mean_cm
555,3355,116.35,812.8275000000001,28.510129778729524,6799.2,51.75
3503,6304,116.1,525.89,22.932291643008554,6211.3,48.75
6453,9256,125.95,1005.4475,31.708792156119728,7458.05,55.35
9404,12207,112.25,368.2875,19.19081811700585,6857.55,53.6
12354,15155,107.75,286.3875,16.92298732493764,6362.3,48.15
15302,18105,113.55,502.14750000000004,22.408647884243262,6253.75,53.0
18252,21055,110.25,325.0875,18.03018302735721,6625.0,48.1
21201,24003,116.35,516.9275,22.736039672731046,6521.05,49.55
24151,26954,111.25,557.2875,23.606937539630167,6176.0,52.0
27101,29902,113.75,458.6875,21.41699091842736,5795.25,52.2
