timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
520,214,24,1127,37
667,218,24,1127,37
815,212,25,1127,37
963,272,21,1127,37
1111,219,18,1127,38
1258,216,19,1127,37
1405,262,19,1127,37
1553,214,18,1121,37
1700,269,24,1121,37
1848,210,25,1120,38
1995,213,20,1120,37
2143,214,24,1121,37
2290,213,24,1127,37
2438,252,24,1127,37
2585,295,24,1126,37
2733,213,24,1126,37
2880,214,21,1126,37
3027,222,23,1126,37
3175,219,24,1127,37
3322,263,24,1127,37
3470,214,24,1127,37
3617,211,20,1127,37
3765,218,19,1126,37
3912,215,24,1127,37
4060,219,24,1127,37
4207,214,24,1126,37
4355,213,24,1126,37
4502,224,23,1127,37
4649,260,23,1127,37
4797,260,23,1127,38
4944,217,20,1126,37
5092,211,25,1127,37
5239,213,24,1126,37
5387,217,24,1126,37
5534,218,17,1126,37
5682,267,24,1127,37
5829,301,24,1126,37
5977,265,19,1126,37
6124,258,24,1127,37
6272,230,19,1126,38
6419,214,17,1127,37
6566,226,24,1126,37
6714,219,24,1127,37
6861,269,23,1126,37
7009,219,24,1126,37
7156,218,24,1126,37
7304,218,23,1127,37
7451,222,23,1127,37
7599,216,22,1127,37
7747,248,24,1127,37
7895,274,23,1126,37
8042,272,21,1127,37
8189,215,19,1120,37
8337,227,16,1121,37
8484,222,24,1121,37
8632,217,18,1126,37
8779,214,19,1127,37
8927,210,25,1127,37
9074,215,24,1126,37
9222,213,24,1126,37
9369,252,18,1127,37
9517,214,24,1127,38
9664,251,24,1126,37
9811,218,24,1127,37
9959,210,20,1127,37
10106,261,24,1127,37
10254,223,23,1126,37
10401,219,24,1126,37
10549,213,24,1126,37
10696,272,18,1127,37
10844,299,19,1126,37
10991,220,14,1126,37
11139,296,18,1127,38
11286,230,23,1127,37
11433,223,20,1126,37
11581,213,24,1126,37
11728,214,24,1126,37
11876,254,24,1126,37
12023,248,21,1127,37
12171,220,24,1126,37
12318,213,22,1127,37
12466,220,24,1126,37
12613,222,23,1126,37
12761,214,22,1126,37
12908,213,24,1127,37
13056,257,24,1126,37
13204,262,25,1127,37
13351,264,24,1127,37
13499,267,19,1127,37
13646,216,19,1121,37
13794,214,18,1121,37
13941,214,24,1121,37
14089,302,24,1121,37
14236,217,20,1121,37
14384,222,23,1127,37
14531,273,23,1127,37
14679,214,24,1127,37
14826,256,24,1126,37
14973,215,24,1127,37
15121,212,25,1127,37
15268,243,25,1126,37
15416,233,25,1126,37
15563,213,23,1126,37
15711,223,16,1127,37
15858,222,23,1127,37
16006,230,24,1127,37
16153,263,24,1126,37
16301,306,24,1126,37
16448,219,19,1127,37
16595,219,17,1127,37
16743,214,21,1127,37
16890,218,19,1127,37
17038,219,24,1127,37
17185,220,17,1126,38
17333,221,24,1127,37
17480,214,24,1126,37
17628,222,23,1127,37
17775,220,24,1126,37
17923,218,24,1127,37
18070,217,24,1126,37
18217,221,22,1126,37
18365,214,24,1126,37
18512,217,18,1126,38
18660,264,24,1126,37
18807,269,19,1126,37
18956,218,24,1127,37
19103,217,19,1127,37
19251,219,24,1127,37
19398,213,20,1126,37
19546,223,19,1127,37
19693,219,24,1122,37
19841,218,23,1120,37
19988,295,24,1120,37
20135,218,16,1120,37
20283,259,24,1124,37
20430,224,23,1126,37
20578,217,24,1127,37
20725,218,24,1127,37
20873,223,17,1126,37
21020,218,18,1126,37
21168,278,24,1127,37
21315,310,19,1127,37
21463,269,19,1126,37
21610,284,24,1127,37
21757,219,19,1126,37
21905,218,20,1127,37
22052,215,21,1127,37
22200,218,20,1127,37
22347,217,24,1126,37
22495,260,24,1127,37
22642,214,16,1127,37
22790,220,24,1126,37
22937,213,24,1127,37
23085,217,18,1126,37
23232,216,24,1127,37
23379,213,21,1127,38
23527,214,24,1126,37
23674,218,24,1127,37
23822,217,24,1127,37
23969,217,24,1126,37
24117,212,24,1127,37
24264,221,24,1127,37
24412,267,24,1127,37
24559,268,24,1127,37
24708,214,19,1127,37
24855,244,20,1127,37
25003,223,15,1127,37
25150,218,19,1126,37
25297,252,24,1121,37
25445,210,25,1121,37
25592,218,24,1121,37
25740,260,23,1121,37
25887,218,24,1127,37
26035,218,24,1127,37
26182,229,22,1127,37
26330,219,19,1126,37
26477,311,23,1127,37
26625,215,24,1126,37
26772,217,21,1127,37
26919,214,24,1127,37
27067,223,23,1126,37
27214,213,24,1127,37
27362,213,24,1126,37
27509,223,21,1126,38
27657,266,24,1127,37
27804,263,24,1127,37
27952,259,24,1127,37
28099,225,19,1127,37
28247,218,15,1126,37
28394,217,24,1126,37
28541,214,24,1127,37
28689,215,20,1126,37
28836,223,19,1126,37
28984,213,20,1127,37
29131,222,23,1127,37
29279,226,18,1127,37
29426,214,24,1127,37
29574,219,24,1127,37
29721,223,23,1126,37
29869,217,18,1127,37
30016,218,24,1127,37
30163,293,24,1127,37
30312,223,23,1127,37
30459,216,24,1126,37
