start_timestamp,end_timestamp,IR_mean,IR_variance,IR_std,US_TOF_us_mean,IR_distance_mean_cm
545,3350,308.1,494.2900000000001,22.232633672149596,1067.7,16.35
693,3497,308.1,494.28999999999996,22.232633672149593,1067.7,16.35
840,3645,310.45,542.3475000000001,23.28835545932774,1067.7,16.35
988,3792,310.35,545.2275000000001,23.350107066135696,1067.7,16.35
1135,3940,308.6,503.14,22.430782420593356,1067.7,16.35
1284,4087,313.9,903.2900000000002,30.054783313143353,1067.7,16.35
1431,4236,316.15,914.4275000000001,30.239502310719338,1068.0,16.3
1579,4383,313.95,905.8475000000002,30.097300543404224,1067.7,16.3
1726,4531,316.35,924.3275000000001,30.402754809391865,1067.7,16.15
1873,4678,313.8,891.5599999999998,29.85900199269895,1067.7,16.15
2021,4826,313.85,889.7275000000002,29.828300320333376,1067.7,16.15
2169,4973,313.85,889.7275000000002,29.828300320333376,1067.7,15.95
2317,5121,313.9,887.8900000000001,29.797483115189447,1067.7,15.95
2464,5268,312.1,869.8899999999998,29.493897673925698,1067.7,15.95
2612,5416,308.6,725.3399999999999,26.932136937124017,1067.4,15.85
2759,5564,308.55,726.6475000000003,26.956399982193474,1067.4,16.0
2907,5711,308.7,723.3100000000001,26.89442321374452,1067.4,16.2
3054,5859,310.6,736.04,27.13005713226568,1067.4,16.2
3203,6006,310.6,736.04,27.13005713226568,1067.4,16.15
3350,6154,310.45,740.2474999999998,27.20748977763292,1067.4,16.35
3497,6301,310.45,740.2475,27.207489777632922,1067.4,16.35
3645,6450,313.65,842.3275,29.022878906131968,1067.4,16.35
3792,6597,311.8,798.7599999999999,28.26234243653558,1067.4,16.35
3940,6745,311.85,797.1274999999999,28.233446477537946,1067.4,16.2
4087,6892,311.45,806.4474999999999,28.398019297127043,1067.4,15.9
4236,7040,308.4,430.84,20.756685669923318,1067.4,15.9
4383,7187,306.2,383.7600000000001,19.589793260777412,1067.4,16.05
4531,7334,306.15,384.9275,19.619569312296335,1067.7,16.05
4678,7483,304.75,318.9875,17.86022116324431,1067.7,16.2
4826,7630,308.0,462.8,21.51278689523977,1067.7,16.2
4973,7778,308.0,462.8,21.51278689523977,1067.7,16.2
5121,7925,307.95,464.0475,21.541761766392273,1067.7,16.3
5268,8073,307.95,464.0475,21.541761766392273,1067.7,16.3
5416,8220,307.7,469.20999999999987,21.661255734605966,1067.7,16.3
5564,8368,309.85,506.72749999999996,22.51060861016423,1068.0,16.4
5711,8516,312.05,533.3475000000001,23.094317482878772,1068.0,16.4
5859,8664,311.8,541.0600000000001,23.2606964642076,1068.0,16.4
6006,8811,309.95,531.3475000000001,23.050976118160378,1068.0,16.3
6154,8958,310.25,524.0875,22.892957432363342,1068.0,16.35
6301,9106,311.7,519.8100000000001,22.7993420957711,1068.0,16.35
6450,9253,311.7,519.8100000000002,22.799342095771102,1068.0,16.25
6597,9401,308.55,404.0475,20.100932814175565,1068.0,16.25
6745,9549,308.0,412.6,20.312557692225763,1068.0,16.25
6892,9697,307.9,415.18999999999994,20.376211620416587,1068.0,16.3
7040,9844,307.85,416.42749999999995,20.40655531930855,1068.0,16.6
7187,9992,305.55,364.44749999999993,19.09050811267212,1068.0,16.45
7334,10139,305.5,365.45,19.11674658512792,1068.0,16.4
7483,10287,309.05,523.2475,22.87460382170585,1068.0,16.4
7630,10434,308.05,530.3475000000001,23.029274847463174,1068.0,16.4
7778,10583,304.8,386.86,19.668756951063276,1067.95,16.4
7925,10730,304.8,386.86,19.668756951063276,1067.95,16.4
8073,10877,304.8,386.86,19.668756951063276,1067.95,16.4
8220,11025,307.05,443.44750000000005,21.058193179852825,1067.95,16.4
8368,11172,307.0,444.7,21.087911228948208,1067.95,16.4
8516,11320,309.1,662.8900000000001,25.74665026755908,1067.95,16.4
8664,11467,306.95,622.1475,24.9428847569803,1067.95,16.4
8811,11616,307.0,620.9,24.917865077088766,1067.95,16.4
8958,11763,309.55,683.2475,26.139003424002222,1067.95,16.5
9106,11911,312.0,755.4,27.48454110950372,1067.95,16.5
9253,12058,311.9,753.1899999999999,27.44430724212218,1067.95,16.4
9401,12206,311.9,753.19,27.444307242122182,1067.95,16.4
9549,12353,314.05,776.9475,27.87377800012047,1067.95,16.4
9697,12500,314.0,778.9,27.90877998050076,1067.95,16.3
9844,12649,314.05,776.9475,27.87377800012047,1067.6,16.4
9992,12796,314.1,775.0899999999999,27.840438214941948,1067.6,16.4
10139,12944,315.7,762.61,27.615394257551348,1067.6,16.55
10287,13091,315.75,760.5875,27.578750878167053,1067.6,16.6
10434,13239,312.25,648.5875,25.467381098181257,1067.6,16.6
10583,13386,312.9,634.19,25.183129273384594,1067.6,16.6
10730,13535,312.9,634.19,25.183129273384594,1067.65,16.5
10877,13682,315.7,688.51,26.23947408009543,1067.35,16.4
11025,13830,315.75,686.4875,26.200906472868454,1067.35,16.5
11172,13977,313.5,669.05,25.86600085053737,1067.35,16.5
11320,14125,313.65,663.6275,25.760968537692833,1067.35,16.5
11467,14272,309.35,435.72749999999996,20.87408680637311,1067.35,16.5
11616,14419,309.3,437.10999999999996,20.90717580162371,1067.35,16.5
11763,14568,309.25,438.5875,20.942480750856618,1067.35,16.35
11911,14715,306.8,372.56000000000006,19.30181338631166,1067.35,16.35
12058,14863,306.3,334.10999999999996,18.278676100855883,1067.35,16.35
12206,15010,307.1,371.39,19.271481520630427,1067.35,16.45
12353,15158,307.1,371.39,19.271481520630427,1067.35,16.55
12500,15305,304.9,318.59000000000003,17.84908961263851,1067.35,16.45
12649,15453,304.95,317.54749999999996,17.819862513498805,1067.35,16.5
12796,15601,304.95,317.54749999999996,17.819862513498805,1067.7,16.5
12944,15749,308.4,481.94000000000005,21.95313189501671,1067.7,16.5
13091,15896,306.95,467.94749999999993,21.632094212072946,1067.7,16.5
13239,16044,306.9,469.09,21.65848563496534,1067.7,16.3
13386,16191,310.05,582.6474999999999,24.13809230241694,1067.7,16.15
13535,16338,313.0,735.9,27.12747684544215,1067.7,16.15
13682,16486,314.35,724.6274999999999,26.918905995600934,1067.7,16.25
13830,16634,312.2,650.56,25.506077707087776,1068.0,16.25
13977,16782,312.2,650.5600000000001,25.506077707087776,1068.0,16.25
14125,16929,312.15,652.2275,25.53874507488573,1068.0,16.25
14272,17077,316.6,893.64,29.893812068720845,1068.0,16.25
14419,17224,316.6,893.64,29.893812068720845,1068.0,16.15
14568,17372,316.6,893.6400000000001,29.893812068720845,1068.0,16.0
14715,17519,318.85,888.1275000000002,29.80146808464308,1068.0,16.15
14863,17668,319.1,878.39,29.637644980666057,1067.7,16.15
15010,17815,316.9,878.39,29.637644980666057,1067.7,16.15
15158,17963,316.85,876.3275,29.602829256677477,1067.65,16.15
