timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
545,296,17,1068,25
693,296,17,1068,25
840,297,17,1068,25
988,339,17,1068,25
1135,296,17,1068,26
1284,295,15,1062,25
1431,339,17,1068,25
1579,295,17,1068,25
1726,347,17,1068,25
1873,295,17,1068,25
2021,296,17,1068,25
2169,295,17,1068,25
2317,336,17,1068,25
2464,366,17,1068,25
2612,296,14,1068,25
2759,296,13,1068,26
2907,294,17,1068,25
3054,295,17,1068,26
3203,298,13,1068,26
3350,295,17,1068,25
3497,296,17,1068,26
3645,343,17,1068,25
3792,295,17,1068,25
3940,304,17,1068,26
4087,402,17,1068,25
4236,340,14,1068,26
4383,295,17,1062,26
4531,343,14,1068,25
4678,296,17,1068,25
4826,296,17,1068,25
4973,296,13,1068,26
5121,296,17,1068,25
5268,300,17,1068,26
5416,296,15,1062,26
5564,295,17,1068,26
5711,299,17,1068,26
5859,332,17,1068,25
6006,295,16,1068,26
6154,295,17,1068,26
6301,295,17,1068,26
6450,360,17,1068,26
6597,306,17,1068,26
6745,296,14,1068,26
6892,296,11,1068,26
7040,341,17,1068,25
7187,296,17,1068,26
7334,294,17,1068,26
7483,315,17,1068,26
7630,361,17,1068,26
7778,296,17,1068,26
7925,295,15,1068,26
8073,296,17,1068,26
8220,295,17,1068,26
8368,339,17,1068,26
8516,339,17,1068,26
8664,294,17,1068,26
8811,295,15,1068,26
8958,301,17,1068,26
9106,324,17,1068,26
9253,295,15,1068,26
9401,297,17,1068,26
9549,295,17,1068,26
9697,294,15,1068,26
9844,295,17,1068,26
9992,295,14,1068,26
10139,295,16,1068,26
10287,365,17,1068,26
10434,295,17,1068,26
10583,296,17,1067,26
10730,296,17,1068,26
10877,295,15,1068,26
11025,341,17,1068,26
11172,294,17,1068,26
11320,381,17,1068,26
11467,296,17,1068,26
11616,295,17,1068,26
11763,346,17,1068,26
11911,350,17,1068,26
12058,322,15,1068,26
12206,295,15,1068,26
12353,340,17,1068,26
12500,294,15,1068,26
12649,295,17,1061,26
12796,296,17,1068,26
12944,327,17,1068,26
13091,296,17,1068,26
13239,295,17,1068,26
13386,308,17,1068,26
13535,296,15,1068,26
13682,352,15,1062,26
13830,296,17,1068,26
13977,296,17,1068,26
14125,297,17,1068,26
14272,295,17,1068,26
14419,295,17,1068,26
14568,294,14,1068,27
14715,297,17,1068,27
14863,340,17,1068,27
15010,338,17,1068,27
15158,295,17,1068,27
15305,296,15,1068,27
15453,295,16,1068,27
15601,295,17,1068,27
15749,365,17,1068,27
15896,298,17,1068,27
16044,295,13,1068,27
16191,358,14,1068,27
16338,367,17,1068,27
16486,323,17,1068,27
16634,309,15,1068,27
16782,296,17,1068,27
16929,295,17,1068,27
17077,386,17,1068,27
17224,295,15,1068,27
17372,295,14,1068,27
17519,339,17,1068,27
17668,302,17,1062,27
17815,296,17,1068,27
17963,337,17,1067,27
18110,296,17,1068,27
18257,327,17,1068,27
18405,324,17,1068,27
18553,302,17,1068,27
18701,296,15,1062,27
18848,341,17,1068,27
18996,295,17,1068,27
19143,298,17,1068,27
19291,296,17,1068,27
19438,295,15,1068,27
19587,297,17,1068,27
19734,295,17,1068,27
19881,295,17,1068,27
20029,372,15,1068,27
20176,295,15,1068,28
20324,345,17,1068,27
20471,317,17,1068,27
20620,295,15,1068,27
20767,295,17,1062,27
20915,295,17,1068,27
21062,361,17,1068,27
21210,296,17,1068,27
21357,362,15,1068,27
21505,369,17,1068,27
21652,296,17,1068,27
21800,295,15,1061,27
21948,295,15,1068,27
22095,296,13,1068,27
22243,296,17,1068,27
22390,299,17,1068,27
22538,295,17,1068,27
22686,295,15,1068,27
22834,312,17,1062,27
22981,294,14,1068,27
23129,295,17,1068,27
23276,350,17,1068,27
23424,295,17,1068,27
23571,295,16,1068,27
23719,295,15,1068,27
23867,295,17,1062,27
24014,301,15,1067,27
24162,338,17,1068,27
24309,295,17,1068,27
24457,296,14,1068,27
24604,352,17,1068,27
24752,295,14,1068,27
24900,323,15,1066,27
25048,297,17,1068,27
25195,295,15,1068,27
25342,297,15,1068,28
25490,339,13,1068,27
25637,296,17,1068,27
25785,294,17,1068,27
25933,315,17,1068,27
26081,293,17,1068,27
26228,292,17,1068,27
26376,296,17,1068,27
26523,295,17,1068,27
26671,292,17,1068,27
26818,347,16,1068,27
26967,294,17,1068,28
27114,291,15,1068,27
27261,291,17,1068,27
27409,298,14,1068,27
27556,352,17,1068,27
27704,292,17,1068,27
27851,292,15,1068,27
27999,293,15,1068,27
28147,292,13,1068,27
28295,356,17,1068,28
28442,291,17,1068,27
28590,336,17,1068,28
28737,292,15,1068,27
28884,291,14,1067,27
29032,291,17,1067,27
29179,292,17,1068,27
29328,293,17,1068,27
29475,308,17,1068,27
29623,349,13,1068,27
29770,391,17,1068,27
29918,295,17,1068,27
30065,291,17,1068,27
30213,291,17,1068,27
30360,345,17,1068,27
30509,292,17,1068,27
