start_timestamp,end_timestamp,IR_mean,IR_variance,IR_std,US_TOF_us_mean,IR_distance_mean_cm
542,3346,74.45,756.9475,27.512678895374766,1067.05,68.8
3493,6296,72.9,496.28999999999996,22.277567192132985,1074.55,63.35
6445,9247,81.25,993.8875,31.525981348722517,1067.4,69.6
9395,12198,79.15,630.5274999999999,25.110306648864324,1081.4,70.8
12346,15150,75.15,460.62749999999994,21.4622342732531,1066.7,70.3
15297,18100,83.2,925.26,30.41808672484185,1066.95,74.7
18247,21051,79.3,678.3100000000001,26.044385191438096,1066.9,70.05
21198,24002,90.4,1506.64,38.81546083714581,1067.35,78.65
24150,26952,86.05,1130.4475,33.62212813014667,1067.35,76.25
27100,29903,81.7,798.21,28.252610498854793,1074.05,74.0
