timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
514,339,14,1214,34
661,403,15,1213,34
808,368,14,1213,34
956,339,15,1213,34
1103,337,12,1213,34
1251,346,14,1214,34
1399,337,13,1213,34
1547,344,14,1207,35
1694,337,12,1208,35
1842,410,14,1213,35
1989,339,15,1213,35
2137,348,14,1213,35
2284,339,15,1214,35
2432,344,14,1213,35
2579,344,13,1214,35
2726,338,12,1213,35
2874,342,13,1213,35
3021,342,13,1214,35
3170,376,15,1213,35
3317,381,15,1207,35
3465,340,14,1207,35
3612,341,15,1213,35
3760,369,15,1213,34
3907,408,14,1213,34
4055,376,14,1213,34
4202,337,15,1214,34
4349,341,14,1214,34
4497,341,14,1214,33
4645,342,14,1213,34
4793,344,14,1207,33
4940,342,14,1208,34
5088,337,12,1214,33
5235,342,12,1213,33
5383,344,14,1213,33
5530,388,14,1214,33
5678,381,15,1213,34
5825,342,14,1214,33
5972,332,13,1214,33
6121,339,15,1214,33
6268,392,15,1208,33
6416,338,15,1208,33
6563,341,14,1213,33
6711,373,15,1214,33
6858,346,14,1213,33
7006,342,14,1213,33
7153,350,13,1214,33
7301,341,14,1213,33
7449,347,14,1214,33
7597,374,13,1208,33
7744,342,13,1208,33
7891,386,14,1207,33
8039,343,14,1214,33
8186,378,14,1213,33
8334,348,14,1214,33
8481,342,14,1214,33
8629,348,14,1213,33
8776,344,14,1213,33
8925,343,14,1214,33
9072,346,12,1213,33
9220,343,14,1208,33
9367,343,13,1214,33
9515,345,14,1213,32
9662,343,13,1213,33
9809,367,11,1214,32
9957,388,14,1213,32
10104,453,14,1214,33
10253,343,14,1213,32
10400,343,14,1207,33
10548,341,14,1208,32
10695,346,14,1214,32
10843,378,15,1214,32
10990,339,15,1213,32
11138,342,14,1213,33
11285,337,15,1214,32
11432,346,14,1213,32
11580,347,14,1214,32
11728,344,14,1214,32
11876,340,15,1213,32
12023,347,13,1208,32
12171,419,15,1208,32
12318,338,13,1214,32
12466,341,13,1214,32
12613,336,15,1213,32
12761,378,13,1214,32
12908,343,14,1214,32
13056,396,14,1213,32
13204,342,14,1214,32
13351,372,14,1208,32
13499,348,13,1207,32
13646,344,14,1214,32
13794,337,13,1214,32
13941,342,12,1213,32
14089,388,15,1214,32
14236,386,14,1214,32
14384,341,13,1214,32
14532,343,14,1213,32
14680,341,12,1208,31
14827,412,14,1207,32
14974,342,12,1213,32
15122,372,12,1214,32
15269,349,13,1213,31
15417,342,12,1214,32
15564,367,14,1214,32
15712,347,14,1214,31
15860,342,13,1214,32
16008,344,13,1208,31
16155,342,14,1208,31
16303,341,14,1214,32
16450,340,14,1214,32
16598,341,14,1213,31
16745,371,12,1214,32
16892,336,15,1213,32
17040,342,14,1214,31
17187,385,14,1214,31
17336,345,14,1214,31
17483,339,14,1208,31
17631,382,14,1208,32
17778,342,14,1214,31
17926,408,13,1213,31
18073,342,12,1214,31
18221,387,15,1214,31
18368,336,15,1214,31
18515,349,14,1214,32
18664,346,14,1214,31
18811,346,14,1207,31
18959,387,14,1213,31
19106,351,12,1214,31
19254,350,14,1214,31
19401,406,14,1214,31
19549,348,14,1214,31
19696,346,13,1214,31
19845,448,14,1214,31
19992,389,14,1208,31
20140,345,12,1208,31
20287,346,14,1214,31
20434,366,14,1214,31
20582,372,14,1214,31
20729,383,12,1214,31
20877,384,14,1214,31
21024,350,13,1214,31
21173,347,14,1213,31
21320,349,14,1208,31
21468,343,13,1207,31
21615,449,14,1213,31
21763,390,14,1214,31
21910,340,14,1214,30
22057,352,14,1214,31
22205,346,14,1214,31
22352,345,13,1214,31
22501,342,14,1214,31
22648,344,14,1208,31
22796,341,14,1214,31
22943,348,14,1213,30
23091,345,13,1213,31
23238,372,13,1214,31
23386,394,14,1213,31
23533,390,12,1214,30
23682,346,14,1214,31
23829,398,14,1214,31
23976,345,14,1207,30
24124,345,14,1214,30
24271,376,14,1214,30
24419,342,14,1214,30
24566,403,14,1214,30
24714,384,14,1213,30
24861,348,12,1214,30
25010,343,11,1214,30
25157,385,14,1208,30
25305,410,14,1208,30
25452,406,14,1214,30
25600,400,14,1213,30
25747,342,12,1214,30
25894,350,12,1213,30
26042,342,14,1214,30
26190,347,14,1214,30
26338,379,14,1208,30
26485,348,13,1208,30
26633,387,13,1214,30
26780,384,14,1214,30
26928,337,15,1214,30
27075,342,14,1213,30
27223,353,13,1213,30
27370,343,12,1214,30
27518,343,12,1213,30
27666,342,14,1208,30
27813,342,13,1207,30
27961,343,14,1214,30
28108,343,13,1214,30
28256,372,13,1214,30
28403,386,14,1214,30
28551,347,14,1214,30
28699,341,14,1214,30
28847,347,14,1208,30
28994,345,14,1207,30
29142,339,15,1214,30
29289,346,13,1214,30
29436,342,13,1214,30
29584,341,14,1214,30
29731,346,11,1214,30
29879,386,14,1214,30
30027,386,14,1214,30
30175,342,12,1208,30
30322,342,14,1214,30
30470,337,13,1214,30
