start_timestamp,end_timestamp,IR_mean,IR_variance,IR_std,US_TOF_us_mean,IR_distance_mean_cm
530,3325,286.8,803.1600000000001,28.340077628686906,2415.65,18.35
677,3472,284.4,719.6400000000001,26.82610668732979,2415.6,18.35
824,3619,285.95,711.3475000000001,26.67109859004687,2415.6,18.35
971,3766,285.9,713.3900000000001,26.709361654670822,2415.6,18.35
1119,3913,290.1,872.9900000000001,29.54640418054285,2415.6,18.35
1265,4061,288.45,895.3474999999999,29.922357861639178,2415.65,18.25
1413,4207,285.6,847.04,29.103951621729994,2415.7,18.05
1560,4355,285.3,860.51,29.334450736292982,2415.7,18.05
1707,4502,280.7,593.71,24.36616506551657,2415.7,17.95
1854,4648,280.4,603.0400000000001,24.556872765073326,2415.7,17.95
2001,4796,280.3,605.9100000000001,24.615239182262684,2416.0,18.3
2148,4943,281.8,713.76,26.716287167194473,2416.05,18.3
2295,5090,278.35,565.9275,23.789230756794133,2416.05,18.3
2443,5237,280.35,716.5274999999999,26.768031306018752,2416.35,18.4
2589,5385,280.15,721.8274999999999,26.866847600714152,2416.05,18.4
2737,5531,280.0,726.8,26.959228475607382,2416.05,18.4
2884,5679,280.15,722.7275,26.88359164992654,2416.35,18.4
3031,5826,283.0,802.1,28.321370023358686,2416.05,18.4
3178,5972,286.9,966.29,31.085205484281424,2416.05,18.2
3325,6120,285.4,981.7400000000001,31.332730490654658,2416.35,18.2
3472,6267,289.2,1101.06,33.182224156918714,2416.05,18.2
3619,6414,290.85,1119.1275,33.45336305963871,2416.05,18.2
3766,6561,289.45,1136.3474999999999,33.709753781361265,2416.05,18.0
3913,6709,289.4,1138.8400000000001,33.74670354271659,2415.95,17.8
4061,6855,285.4,966.04,31.08118401863095,2415.95,17.8
4207,7003,285.35,968.0275000000001,31.113140310807587,2415.9,17.85
4355,7150,288.25,1021.3875,31.959153618329758,2415.9,18.05
4502,7297,292.05,1081.0475,32.87928679275145,2415.9,18.05
4648,7444,292.0,1083.7,32.919599025504546,2415.9,18.15
4796,7591,292.0,1083.7,32.919599025504546,2415.9,18.05
4943,7738,292.0,1083.7,32.919599025504546,2415.9,18.05
5090,7885,288.7,1026.61,32.040755296965145,2415.85,18.05
5237,8033,290.95,1025.1475000000003,32.01792466728598,2415.85,18.05
5385,8179,290.6,995.2399999999998,31.54742461755,2415.85,18.05
5531,8327,290.65,992.7274999999997,31.507578453445127,2415.85,18.05
5679,8473,290.85,982.0275000000001,31.337318009044747,2415.85,18.05
5826,8621,290.75,986.7875,31.413173987994274,2415.85,18.05
5972,8768,287.9,951.5900000000001,30.847852437406402,2415.85,18.25
6120,8914,284.0,795.2,28.199290771223307,2415.85,18.45
6267,9062,284.0,795.2,28.199290771223307,2415.85,18.3
6414,9209,280.25,634.8875,25.19697402467209,2415.85,18.3
6561,9356,279.8,610.1600000000001,24.70141696340516,2415.85,18.3
6709,9503,279.65,613.5275,24.76948727769713,2416.0,18.5
6855,9651,282.95,717.1475,26.779609780577463,2415.8,18.7
7003,9797,282.8,721.76,26.865591376331174,2415.8,18.6
7150,9945,282.8,721.76,26.865591376331174,2415.8,18.45
7297,10092,282.6,705.6400000000001,26.563885257996432,2415.45,18.45
7444,10238,279.05,565.9475,23.789651111355123,2415.45,18.45
7591,10386,279.05,565.9475,23.789651111355123,2415.45,18.25
7738,10533,281.75,612.3875,24.746464393929084,2415.45,18.15
7885,10680,283.65,617.3274999999999,24.84607614896163,2415.45,18.15
8033,10827,283.6,619.14,24.882523987730828,2415.45,17.95
8179,10975,281.25,590.5875,24.30200609003298,2415.45,17.65
8327,11121,278.05,473.14749999999987,21.75195393522154,2415.45,17.65
8473,11269,277.85,478.7275000000001,21.87984232118687,2415.45,17.55
8621,11415,277.8,479.96000000000004,21.907989410258534,2415.45,17.5
8768,11563,278.3,472.91,21.746493970293233,2415.45,17.5
