timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
530,327,19,2419,89
677,267,19,2412,89
824,266,19,2418,89
971,265,19,2418,89
1119,299,19,2412,88
1265,324,19,2418,88
1413,266,19,2418,89
1560,358,19,2412,88
1707,268,19,2418,89
1854,267,12,2412,89
2001,302,19,2412,89
2148,336,19,2418,88
2295,297,17,2412,89
2443,269,19,2418,89
2589,265,19,2418,89
2737,265,19,2412,89
2884,267,15,2418,89
3031,267,19,2418,89
3178,296,19,2412,88
3325,265,19,2418,89
3472,279,19,2418,88
3619,298,19,2412,89
3766,265,19,2418,88
3913,349,19,2418,89
4061,266,17,2413,88
4207,267,15,2419,88
4355,260,19,2418,88
4502,266,17,2412,89
4648,262,19,2418,88
4796,265,19,2418,88
4943,332,19,2413,89
5090,267,19,2418,89
5237,337,19,2418,89
5385,265,19,2412,89
5531,262,19,2418,88
5679,268,19,2418,89
5826,324,15,2412,89
5972,345,15,2418,89
6120,266,19,2418,89
6267,341,19,2412,89
6414,312,19,2418,89
6561,270,15,2412,89
6709,264,15,2416,89
6855,269,19,2418,89
7003,265,18,2412,89
7150,325,19,2419,89
7297,336,19,2418,89
7444,265,19,2412,89
7591,262,17,2418,89
7738,265,19,2418,90
7885,266,19,2412,89
8033,312,19,2418,89
8179,330,19,2418,89
8327,266,19,2412,89
8473,266,19,2418,89
8621,266,19,2418,89
8768,267,19,2412,89
8914,267,19,2418,89
9062,266,16,2418,89
9209,266,19,2412,89
9356,303,19,2418,89
9503,267,19,2415,89
9651,330,19,2412,89
9797,266,17,2418,89
9945,265,15,2412,89
10092,321,19,2412,89
10238,265,19,2418,89
10386,265,15,2412,89
10533,316,15,2418,89
10680,303,19,2418,89
10827,265,15,2412,89
10975,265,13,2418,89
11121,266,19,2418,89
11269,262,17,2412,89
11415,265,18,2418,89
11563,276,19,2418,89
11710,265,15,2412,89
11856,261,19,2418,89
12004,262,15,2417,89
12151,266,16,2412,89
12298,268,19,2417,89
12445,264,19,2412,89
12593,266,19,2418,89
12739,337,19,2418,88
12887,266,19,2412,89
13034,265,12,2418,89
13180,265,19,2418,89
13328,266,19,2412,89
13475,265,19,2418,89
13622,265,17,2418,89
13769,292,19,2412,89
13916,265,19,2418,89
14063,341,19,2418,89
14211,268,19,2412,89
14357,268,15,2418,89
14504,311,19,2418,89
14652,264,19,2411,89
14798,266,19,2418,89
14946,266,19,2418,89
15093,343,19,2412,89
15240,268,19,2418,89
15387,268,15,2412,89
15535,261,17,2418,89
15681,266,19,2418,89
15828,274,18,2412,89
15976,265,19,2418,89
16122,366,17,2418,89
16270,336,19,2412,89
16416,263,15,2418,89
16564,266,19,2418,89
16711,272,19,2412,89
16858,265,19,2418,89
17005,328,19,2418,89
17153,365,19,2412,89
17299,266,19,2418,89
17446,326,15,2411,89
17594,266,19,2412,89
17740,298,19,2418,89
17888,297,19,2412,89
18035,266,19,2418,89
18182,347,19,2418,89
18329,268,19,2412,89
18476,265,14,2418,89
18623,321,19,2418,90
18770,309,19,2412,90
18917,264,19,2418,89
19064,326,19,2418,89
19212,334,16,2412,89
19358,265,19,2418,89
19506,267,15,2418,89
19653,300,19,2412,89
19800,264,19,2418,89
19947,310,19,2411,89
20094,265,19,2418,89
20241,272,15,2417,89
20388,271,18,2412,89
20535,337,17,2418,89
20682,261,19,2418,89
20830,267,19,2412,89
20976,265,19,2419,89
21124,267,19,2418,89
21271,322,19,2412,89
21417,267,19,2419,89
21565,339,16,2418,89
21712,307,16,2412,89
21859,265,18,2418,89
22006,317,19,2412,89
22154,264,19,2418,89
22300,270,19,2418,89
22448,297,19,2412,89
22595,264,15,2418,89
22742,267,19,2417,90
22889,271,19,2412,89
23035,320,19,2419,89
23183,262,15,2418,89
23330,262,19,2412,89
23477,322,17,2418,89
23624,264,16,2418,89
23772,262,16,2412,89
23918,265,17,2418,90
24066,266,15,2412,89
24213,265,14,2418,89
24359,342,19,2418,89
24507,328,19,2412,90
24654,267,19,2418,89
24801,265,19,2418,89
24948,264,19,2412,89
25095,266,19,2418,89
25242,331,16,2419,89
25390,346,19,2412,90
25536,265,15,2418,89
25683,264,16,2419,90
25831,266,19,2412,89
25977,302,19,2418,89
26125,269,19,2418,89
26272,343,19,2411,89
26419,267,19,2418,89
26566,286,15,2413,89
26714,288,14,2412,89
26860,266,19,2418,90
27008,265,19,2411,89
27155,311,19,2418,89
27301,324,19,2417,89
27449,265,19,2412,89
27595,330,19,2418,90
27743,266,19,2418,89
27890,282,15,2412,90
28037,265,16,2418,89
28184,265,19,2418,90
28332,266,19,2411,90
28478,269,19,2418,90
28625,266,16,2412,90
28773,265,15,2417,89
28919,266,16,2418,90
29067,278,19,2412,89
29214,264,15,2418,90
29361,292,19,2418,89
29508,265,15,2412,89
29655,264,15,2417,89
29802,265,19,2418,90
29949,265,19,2412,90
30096,315,19,2418,90
30243,382,19,2418,89
30391,265,19,2411,89
