timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
505,230,22,919,60
653,243,22,925,60
799,230,22,918,61
947,231,22,919,60
1094,235,22,925,60
1241,264,22,918,60
1388,233,22,918,60
1536,233,19,925,60
1682,230,22,918,60
1829,230,16,919,60
1977,233,22,924,60
2123,230,22,919,61
2271,264,22,918,60
2418,234,22,925,61
2565,233,22,919,60
2712,293,22,919,61
2860,233,19,924,60
3006,298,22,919,60
3153,230,22,918,61
3301,233,22,925,60
3447,247,22,919,61
3595,229,18,918,61
3742,234,22,925,60
3889,314,19,918,61
4036,230,22,918,60
4184,239,22,925,61
4330,231,22,919,60
4477,293,22,918,60
4625,234,19,925,60
4771,263,22,918,60
4919,318,22,919,60
5066,288,22,923,60
5213,292,22,919,60
5360,230,17,919,61
5508,232,19,924,61
5654,235,17,919,60
5801,297,22,918,60
5949,267,22,925,60
6095,271,22,919,61
6243,230,18,918,61
6390,236,22,925,61
6537,231,19,919,60
6684,292,22,919,61
6832,231,22,925,61
6978,235,22,919,61
7126,231,22,918,61
7273,230,22,925,61
7419,231,22,918,60
7567,266,22,918,60
7714,234,22,919,61
7861,230,22,918,60
8008,233,22,918,60
8156,248,19,919,60
8302,230,22,918,60
8450,239,22,918,60
8597,264,19,918,60
8743,234,20,919,60
8891,239,22,919,61
9038,229,22,919,61
9185,230,19,919,60
9332,233,19,919,61
9480,230,22,919,61
9626,264,17,919,61
9774,234,18,919,60
9921,261,22,919,60
10067,229,22,918,61
10215,269,22,918,60
10362,238,22,918,61
10509,235,22,919,61
10656,284,22,919,61
10804,242,19,924,61
10950,235,22,919,61
11098,234,19,919,61
11245,305,22,925,61
11392,232,22,918,61
11539,231,22,919,61
11686,230,22,925,62
11833,234,15,918,61
11980,233,22,919,61
12128,231,22,925,61
12274,307,22,919,61
12422,238,22,919,61
12569,231,17,919,61
12716,229,22,919,61
12863,292,19,918,61
13010,243,18,919,61
13157,234,22,918,61
13304,230,18,919,61
13452,237,19,918,61
13598,231,19,918,61
13746,229,22,918,61
13893,264,22,918,61
14040,233,22,918,61
14187,260,22,919,61
14334,233,19,919,61
14481,234,19,918,61
14628,234,22,919,61
14776,234,22,919,61
14922,229,22,919,61
15070,235,22,918,61
15217,234,22,919,61
15364,230,18,919,61
15511,294,22,918,61
15659,231,22,919,61
15805,235,22,919,61
15952,234,17,919,61
16100,232,19,919,61
16246,294,22,919,61
16394,234,22,918,61
16541,269,22,918,62
16688,231,19,919,61
16835,236,22,918,62
16983,235,22,918,61
17129,310,19,919,61
17276,231,22,919,62
17424,297,22,919,62
17570,229,22,919,61
17718,235,19,919,62
17865,237,17,918,61
18012,230,22,919,61
18159,267,21,918,61
18307,237,22,918,61
18453,234,22,918,61
18600,265,22,919,61
18748,265,21,919,61
18895,289,22,925,61
19042,234,19,918,61
19189,243,18,918,60
19337,231,19,924,61
19483,230,22,918,60
19631,237,22,919,60
19778,234,22,925,61
19924,235,22,919,60
20072,231,20,919,61
20219,231,19,919,60
20366,233,22,919,61
20513,231,19,918,60
20661,231,22,919,60
20807,235,19,919,61
20955,236,18,919,61
21102,232,22,918,61
21249,282,22,919,60
21396,267,22,919,60
21543,232,19,919,61
21691,264,22,925,60
21837,293,22,918,61
21985,279,22,919,60
22132,274,22,924,61
22279,294,22,918,61
22426,237,22,918,61
22574,238,22,925,61
22720,295,19,919,61
22867,263,22,919,61
23015,275,22,919,61
23161,234,18,919,61
23309,239,19,919,61
23456,235,22,918,61
23603,232,20,918,61
23750,233,22,919,61
23898,231,19,919,61
24044,237,18,919,61
24192,287,22,918,60
24339,296,22,919,61
24486,232,22,925,60
24633,233,22,918,60
24780,232,19,918,60
24928,265,22,923,61
25074,232,22,919,60
25222,276,22,919,60
25369,246,22,918,60
25516,265,17,918,60
25663,232,22,918,60
25810,231,22,919,60
25957,230,18,919,60
26104,267,22,919,61
26252,233,22,919,60
26399,235,22,919,60
26546,232,22,919,60
26693,232,22,918,60
26841,233,18,925,60
26987,231,17,918,60
27134,233,22,919,60
27282,236,21,919,60
27428,277,22,918,60
27576,236,22,918,60
27723,291,22,918,61
27870,270,16,919,60
28017,231,22,919,60
28165,231,17,918,60
28311,270,22,919,60
28459,302,19,919,60
28606,232,22,919,60
28753,234,22,925,61
28900,235,22,918,60
29047,242,15,919,61
29195,290,22,918,60
29341,236,22,919,60
29489,231,22,918,60
29636,236,19,919,61
29783,232,22,918,61
29930,231,22,919,61
30077,231,22,918,61
30224,234,19,919,61
30371,284,22,919,61
30519,237,22,919,61
