timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
542,326,17,2273,78
689,347,17,2273,78
836,339,15,2273,78
984,294,15,2272,78
1130,338,17,2273,77
1277,290,17,2273,78
1425,339,17,2274,78
1571,295,14,2273,78
1719,293,17,2273,77
1866,343,17,2267,78
2013,292,17,2273,78
2160,291,13,2274,78
2308,334,17,2267,78
2454,291,17,2274,78
2601,289,17,2273,78
2749,291,13,2267,77
2895,295,16,2273,78
3043,294,17,2274,78
3190,292,17,2273,78
3338,291,15,2273,78
3484,290,17,2273,78
3632,339,17,2273,78
3779,357,17,2267,77
3926,336,17,2273,78
4073,290,17,2274,78
4220,295,17,2267,78
4367,294,17,2273,78
4514,331,17,2274,78
4662,294,17,2268,78
4809,290,17,2273,78
4956,294,17,2273,78
5103,294,17,2273,78
5251,292,15,2274,78
5397,291,17,2273,78
5544,338,17,2273,78
5692,296,17,2267,78
5838,290,13,2273,77
5986,294,17,2273,78
6133,294,14,2267,78
6280,294,16,2273,78
6427,341,15,2273,78
6575,349,17,2267,78
6722,291,17,2273,78
6868,294,15,2273,78
7016,336,17,2273,78
7163,344,17,2273,78
7310,291,17,2273,78
7457,289,16,2273,78
7605,384,15,2267,78
7751,291,17,2273,78
7899,293,15,2274,78
8046,307,17,2267,78
8193,333,15,2273,78
8340,292,15,2273,78
8487,296,17,2268,78
8634,292,17,2274,78
8781,326,17,2273,78
8929,290,17,2273,78
9076,290,14,2273,78
9223,291,17,2273,78
9370,295,17,2273,78
9518,298,15,2273,78
9664,290,17,2274,78
9811,291,17,2273,78
9959,289,17,2267,78
10105,344,17,2274,78
10253,293,17,2273,78
10400,292,17,2267,78
10547,290,14,2273,78
10694,291,13,2273,78
10842,291,15,2267,78
10988,291,17,2273,78
11136,290,17,2273,78
11283,343,15,2273,78
11430,290,15,2273,78
11577,331,16,2273,78
11724,290,15,2273,78
11872,291,13,2274,78
12018,322,17,2273,78
12166,318,17,2274,78
12313,297,17,2267,78
12460,294,17,2273,78
12607,334,17,2273,78
12754,347,17,2267,78
12901,290,14,2273,78
13048,293,17,2273,78
13196,294,17,2267,78
13342,359,17,2273,78
13490,359,17,2273,78
13637,290,15,2267,78
13784,293,17,2273,78
13931,290,17,2273,78
14078,341,17,2273,78
14226,332,17,2273,78
14372,294,17,2274,78
14520,291,17,2273,78
14667,293,15,2273,78
14814,290,15,2274,78
14961,290,17,2273,78
15109,292,14,2267,78
15255,290,16,2273,78
15403,337,15,2273,78
15550,290,17,2267,78
15696,293,15,2273,78
15844,289,17,2273,78
15991,384,17,2267,78
16138,291,16,2273,78
16285,291,17,2273,78
16433,298,15,2267,78
16579,333,15,2274,78
16727,291,15,2273,78
16874,290,15,2267,78
17021,290,15,2273,78
17168,291,14,2273,78
17315,290,17,2273,78
17463,290,15,2274,78
17609,295,17,2273,78
17757,290,17,2273,78
17904,291,17,2273,78
18051,292,15,2273,78
18198,291,15,2273,78
18345,335,13,2267,79
18492,290,17,2273,78
18639,291,17,2273,79
18787,292,17,2267,78
18933,321,15,2273,79
19081,291,17,2274,78
19228,354,17,2267,78
19375,290,17,2273,78
19522,291,13,2273,78
19670,292,17,2267,78
19816,332,17,2274,78
19963,294,17,2273,78
20111,333,15,2268,78
20257,294,17,2274,78
20405,343,17,2273,78
20552,290,15,2273,78
20700,292,13,2273,78
20846,291,15,2273,78
20994,335,17,2273,78
21141,340,17,2273,78
21287,332,14,2273,78
21435,291,17,2273,78
21582,293,17,2268,78
21729,320,17,2273,78
21876,291,17,2273,78
22024,320,17,2266,78
22170,350,17,2273,78
22318,319,17,2273,78
22465,334,17,2267,78
22611,347,17,2273,78
22759,290,17,2274,78
22906,290,15,2267,78
23053,331,17,2273,78
23200,326,16,2273,78
23348,349,17,2273,78
23495,300,17,2273,78
23642,332,17,2273,78
23789,290,15,2274,79
23937,292,17,2267,78
24083,293,15,2273,78
24230,331,17,2273,78
24378,290,15,2267,78
24524,291,15,2273,78
24672,290,14,2273,78
24819,330,14,2267,78
24966,346,15,2273,78
25113,290,14,2273,78
25261,294,17,2266,78
25407,386,17,2272,78
25554,291,17,2273,78
25702,290,17,2267,78
25848,290,17,2273,78
25996,332,14,2273,78
26143,290,17,2267,78
26290,340,17,2273,78
26437,289,17,2273,78
26585,291,17,2267,78
26732,290,17,2273,78
26878,289,14,2273,78
27026,347,17,2273,79
27173,290,17,2273,78
27320,293,17,2273,78
27467,289,17,2273,78
27615,293,17,2273,79
27761,291,15,2273,78
27909,290,17,2273,78
28056,289,14,2273,78
28203,294,17,2272,78
28350,339,13,2273,78
28497,355,15,2273,79
28644,293,17,2273,78
28791,288,17,2273,78
28939,291,17,2273,78
29085,334,17,2273,78
29233,295,17,2273,78
29380,392,17,2273,78
29527,291,17,2273,79
29674,290,14,2273,78
29821,294,17,2267,78
29968,330,17,2273,78
30115,290,17,2273,78
30263,290,15,2267,78
30409,290,16,2273,78
