timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
542,246,15,1937,47
690,239,21,1937,47
837,241,21,1937,47
985,346,21,1937,47
1132,242,17,1937,47
1280,242,18,1936,47
1427,293,16,1937,47
1574,240,21,1937,47
1722,243,21,1936,47
1869,259,21,1937,47
2017,241,17,1937,47
2164,242,21,1937,47
2312,241,16,1936,47
2459,241,16,1937,47
2607,240,21,1937,47
2754,268,21,1937,47
2902,241,21,1936,47
3049,241,21,1936,47
3196,382,21,1937,47
3344,241,17,1937,47
3491,242,21,1937,47
3639,241,21,1936,47
3786,241,21,1937,47
3934,243,21,1937,47
4081,243,21,1936,47
4229,241,19,1937,47
4376,241,21,1937,47
4524,240,21,1936,47
4671,242,21,1936,47
4818,240,21,1936,47
4966,239,21,1937,47
5113,241,18,1937,47
5261,286,21,1936,47
5408,281,17,1936,47
5556,274,21,1936,47
5703,244,21,1936,47
5851,241,21,1936,47
5998,242,21,1936,47
6146,241,21,1936,47
6293,240,16,1936,47
6440,298,21,1936,47
6588,240,21,1937,47
6735,240,16,1936,47
6883,240,21,1937,48
7030,284,21,1937,47
7178,241,21,1936,47
7325,288,21,1937,47
7473,240,17,1937,47
7620,245,16,1937,47
7768,246,18,1936,47
7915,293,21,1937,47
8062,240,21,1937,47
8210,245,21,1937,47
8357,332,21,1937,47
8505,241,19,1937,47
8652,240,21,1937,47
8800,241,18,1936,47
8947,240,17,1936,47
9095,240,21,1936,47
9242,385,21,1937,47
9390,320,21,1937,47
9537,278,17,1937,47
9684,240,16,1936,47
9832,244,21,1936,47
9979,243,16,1936,47
10127,331,21,1936,47
10274,244,21,1936,47
10422,245,16,1941,47
10569,241,21,1941,47
10717,265,21,1943,47
10864,290,21,1942,47
11012,240,18,1943,47
11159,242,21,1943,47
11307,288,21,1943,47
11454,241,21,1943,47
11601,242,18,1943,47
11749,243,21,1943,47
11896,240,21,1943,47
12044,240,18,1942,47
12191,241,21,1943,47
12339,299,21,1943,47
12486,241,21,1942,47
12634,278,21,1943,47
12781,240,21,1942,47
12929,241,21,1942,47
13076,243,21,1943,47
13223,313,21,1942,47
13371,240,21,1942,47
13518,239,20,1943,47
13666,293,19,1942,47
13813,326,17,1942,47
13961,241,17,1943,47
14108,278,17,1943,47
14256,282,21,1943,47
14403,241,21,1943,47
14551,241,19,1943,47
14698,241,21,1943,47
14845,241,21,1943,47
14993,286,19,1943,47
15140,242,21,1943,47
15288,241,18,1943,47
15435,276,21,1943,47
15583,240,21,1942,47
15729,262,19,1933,69
15878,289,20,1944,39
16024,292,21,1799,31
16173,242,21,1793,28
16320,290,19,1566,24
16467,243,21,1560,21
16615,290,17,1561,20
16762,241,18,1566,19
16910,241,21,1567,20
17058,240,21,1561,20
17206,243,14,1561,20
17353,294,21,1561,20
17502,241,17,1800,24
17649,241,21,1793,23
17797,242,21,1793,24
17944,240,16,1793,24
18092,271,21,1793,24
18240,241,15,1799,24
18387,245,14,1793,24
18535,240,19,1794,24
18682,240,17,1793,23
18830,242,21,1793,23
18978,243,21,1800,24
19126,241,16,1794,23
19273,288,16,1793,23
19421,241,21,1793,24
19568,241,21,1800,23
19717,306,18,1793,24
19864,243,21,1794,23
20012,240,21,1793,23
20159,242,17,1793,23
20306,313,21,1799,24
20455,240,21,1793,24
20602,298,17,1793,24
20750,243,21,1794,24
20897,240,21,1793,24
21046,241,17,1799,23
21193,318,21,1794,24
21341,293,21,1793,24
21488,241,21,1794,24
21636,246,21,1799,24
21784,244,21,1796,24
21932,240,18,1793,24
22079,241,18,1794,24
22226,243,21,1794,24
22375,241,21,1799,24
22522,241,21,1794,24
22670,241,20,1793,24
22817,241,21,1794,24
22965,248,21,1800,24
23113,267,18,1799,24
23261,240,17,1793,24
23408,240,21,1793,23
23556,241,18,1793,24
23703,288,21,1800,24
23852,240,21,1793,24
23999,289,21,1793,24
24146,242,21,1794,24
24294,308,21,1793,24
24442,243,21,1799,24
24590,287,21,1793,24
24737,242,21,1793,24
24885,240,21,1793,24
25032,272,21,1799,24
25181,243,17,1793,24
25328,243,21,1794,24
25476,241,18,1794,24
25623,239,21,1793,23
25771,289,21,1799,24
25919,241,19,1793,24
26066,240,21,1793,24
26214,242,18,1793,24
26361,286,20,1794,24
26510,239,21,1799,23
26657,241,21,1793,24
26805,242,21,1794,24
26952,241,21,1793,24
27100,241,21,1799,24
27248,289,21,1794,24
27396,241,21,1794,24
27543,240,18,1794,24
27691,245,21,1793,24
27839,240,21,1799,24
27986,245,21,1794,24
28134,290,21,1793,24
28281,242,21,1793,24
28429,242,21,1796,23
28577,270,21,1800,24
28725,240,17,1793,24
28872,291,18,1793,24
29020,287,21,1793,24
29167,304,21,1799,24
29316,263,21,1793,23
29463,242,21,1794,23
29611,296,21,1793,24
29758,243,21,1793,24
29906,241,15,1800,24
30054,240,21,1794,24
30201,241,18,1794,24
30349,244,21,1793,23
30496,240,21,1799,24
