timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
544,347,15,916,87
691,368,17,917,86
838,289,17,917,86
985,290,17,916,86
1132,337,16,917,86
1278,290,17,917,86
1426,292,17,923,86
1572,289,17,917,86
1719,288,16,917,86
1866,289,17,916,86
2013,289,17,916,86
2160,289,16,916,86
2307,288,14,917,87
2454,288,17,917,87
2600,288,17,917,86
2748,323,14,917,87
2894,322,17,917,86
3042,288,14,923,87
3188,288,14,917,87
3335,288,17,917,87
3482,314,17,917,87
3629,337,17,916,87
3776,288,17,917,87
3922,289,17,917,87
4070,290,17,917,87
4216,313,17,916,87
4364,339,15,921,87
4510,289,17,917,88
4657,287,17,917,87
4804,290,17,917,87
4951,377,15,917,88
5098,288,17,917,87
5244,291,17,917,87
5392,336,17,920,88
5538,288,17,917,88
5686,288,17,917,88
5832,336,17,917,88
5979,289,17,917,87
6126,290,17,917,88
6273,287,17,917,87
6420,289,17,917,86
6566,349,17,917,86
6714,287,16,917,87
6860,288,15,917,87
7008,288,15,923,88
7154,288,17,917,88
7301,313,16,917,87
7448,345,15,917,87
7595,321,17,916,88
7742,292,15,916,88
7888,288,13,917,87
8036,294,16,916,88
8182,288,17,917,87
8330,382,15,923,87
8476,288,16,917,87
8624,288,17,917,87
8770,395,17,917,87
8916,333,17,917,87
9064,291,17,917,87
9210,289,17,916,86
9358,340,16,917,87
9504,289,17,917,87
9652,287,17,917,88
9798,287,17,917,87
9946,315,15,918,87
10092,289,17,917,87
10240,334,17,923,87
10386,289,13,917,87
10532,290,17,917,87
10680,289,17,917,87
10826,337,17,917,87
10974,287,17,917,87
11120,289,15,916,87
11268,342,17,917,87
11414,289,17,917,88
11561,321,17,923,88
11708,336,17,917,87
11854,325,17,917,88
12002,304,17,917,87
12148,318,17,917,88
12296,288,15,916,88
12442,288,17,917,88
12590,318,17,922,87
12736,347,17,917,87
12882,291,15,916,88
13030,390,17,916,88
13176,293,15,917,87
13324,288,17,917,88
13470,409,17,917,88
13618,291,17,923,88
13764,289,17,917,88
13911,337,17,916,88
14058,335,17,917,88
14204,289,17,917,88
14352,336,16,917,88
14498,288,17,916,88
14646,289,17,922,87
14792,337,17,916,88
14939,288,17,916,88
15086,289,15,916,87
15233,338,17,916,87
15380,287,17,917,87
15526,289,15,917,87
15674,291,17,917,88
15820,318,17,917,88
15968,331,17,922,88
16114,288,15,916,87
16261,288,17,917,88
16408,309,15,917,87
16555,337,17,916,87
16702,288,17,917,87
16848,289,17,917,87
16996,340,17,917,87
17142,291,17,917,87
17290,288,17,916,87
17436,338,17,917,87
17583,305,17,917,87
17730,316,17,917,87
17876,339,17,916,88
18024,290,17,917,88
18170,290,17,916,88
18318,327,17,919,87
18464,288,17,916,88
18612,288,16,917,88
18758,286,17,917,88
18905,334,17,917,87
19052,292,16,916,87
19198,321,17,917,87
19346,303,17,917,87
19492,289,17,916,86
19640,289,17,923,86
19786,288,17,917,86
19933,288,17,917,87
20080,288,17,917,87
20227,288,17,917,87
20374,288,15,917,87
20520,287,16,917,87
20668,289,17,917,87
20814,289,15,916,87
20962,288,15,917,87
21108,289,17,917,87
21256,374,18,923,87
21402,288,17,917,88
21549,348,17,917,89
21696,297,17,916,89
21842,288,17,917,89
21990,288,17,916,88
22136,289,17,916,88
22284,338,17,916,88
22430,288,17,917,88
22578,337,17,923,88
22724,288,17,917,88
22871,288,17,917,87
23018,336,17,917,88
23164,292,17,917,87
23312,289,17,917,86
23458,288,17,917,86
23606,288,17,917,86
23752,289,17,917,86
23900,288,17,917,86
24046,289,17,917,86
24194,314,17,923,86
24340,290,17,917,86
24486,332,17,917,86
24634,340,17,917,85
24780,289,17,917,86
24928,329,14,917,86
25074,335,14,917,86
25222,291,17,917,86
25368,289,17,917,86
25516,308,17,917,92
25662,314,17,916,91
25809,288,17,923,91
25956,313,17,916,92
26102,315,17,917,91
26250,289,17,917,92
26396,337,17,916,92
26544,288,17,917,92
26690,288,15,916,92
26836,291,15,916,92
26984,290,15,916,92
27130,327,17,917,92
27278,291,17,916,92
27424,337,15,917,92
27571,289,17,917,92
27718,294,17,916,92
27865,293,13,916,93
28012,290,17,916,92
28158,288,17,916,92
28305,288,17,917,93
28452,359,17,916,92
28599,289,17,916,93
28746,288,17,920,93
28893,357,13,916,93
29039,287,17,916,93
29187,306,17,916,93
29333,332,15,917,92
29480,287,17,921,92
29627,323,15,917,92
29773,288,17,916,92
29921,360,17,916,92
30067,290,17,916,93
30215,305,17,923,88
30361,288,15,916,88
30508,287,17,917,87
