timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
509,273,17,3584,75
657,273,16,3584,75
804,273,18,3584,75
952,275,18,3584,75
1099,273,15,3584,75
1247,273,15,3585,75
1394,268,19,3578,75
1542,272,18,3578,75
1689,347,18,3578,75
1837,324,15,3577,75
1984,275,18,3578,75
2131,273,16,3579,75
2279,280,17,3578,75
2426,273,18,3578,75
2574,273,18,3584,75
2721,296,18,3584,75
2868,321,18,3584,75
3015,310,15,3585,75
3163,272,17,3584,75
3310,274,18,3584,75
3458,285,18,3584,75
3605,276,18,3584,75
3752,272,19,3578,75
3900,272,18,3578,75
4047,273,18,3578,75
4195,272,15,3578,75
4342,320,18,3578,75
4490,273,15,3578,75
4637,276,18,3578,75
4785,314,19,3578,75
4930,272,19,2422,75
5078,328,18,2423,60
5226,329,18,3584,60
5373,274,19,3584,75
5521,322,18,3585,75
5668,272,16,3584,76
5816,323,18,3584,76
5963,273,18,3584,75
6111,269,16,3584,75
6258,324,19,3578,75
6406,269,19,3578,75
6553,272,15,3579,75
6701,273,19,3578,76
6847,270,19,2417,75
6994,270,18,2417,60
7143,274,18,3578,60
7290,274,16,3578,75
7438,281,18,3578,75
7585,275,18,3584,75
7733,289,18,3585,75
7879,274,16,3584,75
8027,272,18,3584,75
8174,351,18,3584,75
8322,273,15,3584,75
8469,273,16,3584,76
8616,274,18,3584,75
8764,273,18,3583,75
8911,269,19,3579,76
9059,273,18,3579,75
9206,272,18,3578,76
9354,272,18,3578,75
9501,320,18,3578,76
9649,275,14,3578,75
9796,273,18,3578,75
9944,273,15,3578,75
10091,273,18,3578,75
10238,273,19,3585,75
10386,272,16,3584,75
10533,274,19,3585,75
10680,325,18,3584,75
10827,271,19,3585,75
10975,320,18,3585,76
11121,273,15,2423,76
11270,273,18,3584,76
11417,275,18,3585,76
11565,277,18,3584,76
11712,272,16,3579,76
11859,273,16,3578,76
12007,272,18,3578,76
12154,272,18,3578,76
12302,320,16,3578,76
12449,277,15,3579,75
12597,274,18,3578,76
12744,284,18,3578,76
12892,274,19,3584,76
13039,273,18,3584,76
13186,276,16,3584,76
13333,275,19,3585,75
13480,364,18,3584,75
13628,329,15,3584,76
13775,273,19,3584,76
13923,274,18,3585,76
14070,273,16,3578,75
14218,302,18,3579,76
14365,276,18,3578,75
14513,273,19,3578,76
14659,273,19,2417,75
14807,315,18,2423,60
14954,269,19,2423,60
15102,272,15,3584,75
15250,274,18,3585,75
15397,273,18,3584,75
15544,269,19,3584,76
15691,274,18,3584,76
15839,273,16,3583,76
15986,273,18,3584,75
16134,375,19,3585,76
16281,338,16,3578,76
16429,273,18,3578,76
16576,274,18,3578,76
16723,270,19,3577,75
16871,275,18,3578,76
17018,328,18,3578,75
17166,331,19,3578,76
17313,321,19,3579,76
17461,277,15,3584,76
17607,314,18,3584,76
17755,314,19,3584,76
17902,273,18,3584,75
18050,273,18,3584,76
18197,268,19,3584,76
18344,311,18,3585,76
18492,274,18,3578,76
18639,319,19,3578,75
18787,324,15,3578,75
18934,274,18,3578,75
19082,272,18,3578,75
19229,297,18,3578,75
19377,274,16,3578,75
19524,274,17,3579,75
19672,291,18,3584,75
19819,354,18,3584,76
19965,319,18,3585,75
20113,274,16,3584,75
20260,272,19,3585,76
20408,275,18,3585,76
20555,273,18,3584,76
20703,272,18,3585,75
20850,304,17,3578,76
20998,274,18,3578,75
21145,282,18,3578,75
21293,321,19,3578,75
21440,273,16,3579,75
21587,273,18,3579,76
21735,273,18,3578,75
21882,298,18,3578,75
22030,311,18,3584,75
22177,291,18,3584,75
22324,272,18,3585,75
22471,304,18,3584,75
22619,340,19,3584,75
22766,273,13,3583,75
22914,273,18,3584,75
23061,271,19,3579,76
23208,276,18,3578,75
23356,325,18,3578,75
23503,272,18,3578,75
23651,342,18,3577,75
23798,274,18,3577,75
23946,320,15,3584,75
24093,271,18,3584,75
24240,275,17,3584,76
24387,272,16,3584,75
24535,304,18,3584,75
24682,276,19,3584,75
24829,276,16,3584,76
24977,287,18,3578,75
25124,352,18,3578,75
25272,273,15,3578,75
25419,273,16,3578,75
25567,332,18,3578,75
25714,305,18,3578,75
25862,271,19,3584,75
26008,272,18,3585,75
26156,273,18,3584,75
26303,319,18,3584,75
26450,275,18,3584,75
26598,273,19,3584,75
26745,272,15,3585,75
26892,275,19,2417,59
27039,272,19,2417,60
27188,272,19,3578,59
27335,305,19,3578,75
27483,273,18,3578,75
27630,363,19,3578,75
27778,272,16,3578,74
27925,274,18,3584,75
28072,273,15,3584,75
28219,272,17,3584,75
28366,273,18,3584,75
28513,276,18,2423,59
28660,272,15,2423,59
28809,319,18,3584,75
28956,320,19,3578,74
29104,304,18,3577,75
29251,275,16,3578,75
29399,277,17,3577,75
29545,273,18,2417,59
29692,308,19,2417,59
29840,297,18,2423,59
29986,275,18,2423,59
30134,275,18,2423,59
30281,319,17,2423,59
30429,273,16,2423,59
