timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
549,249,24,1214,18
697,181,19,1214,18
844,212,28,1214,18
992,192,28,1214,18
1139,199,26,1214,18
1287,189,26,1214,18
1435,192,27,1214,18
1583,200,21,1208,18
1730,237,23,1214,18
1878,199,27,1214,18
2025,197,26,1214,18
2172,248,25,1214,18
2320,210,24,1214,18
2468,197,27,1214,18
2616,200,28,1208,18
2763,192,28,1208,18
2911,236,22,1214,18
3058,223,29,1214,18
3206,181,20,1214,18
3353,192,27,1214,18
3501,182,29,1214,18
3649,205,26,1211,18
3796,196,27,1208,18
3944,256,27,1214,18
4091,212,22,1214,18
4239,194,27,1214,18
4386,241,26,1214,18
4534,303,26,1214,18
4682,258,26,1214,18
4830,236,26,1208,18
4977,234,23,1214,18
5125,207,25,1214,18
5272,199,23,1214,18
5420,195,27,1214,18
5567,206,21,1214,18
5714,231,28,1214,19
5863,186,21,1208,18
6010,190,28,1208,18
6158,189,28,1214,18
6305,186,21,1214,18
6453,186,21,1214,18
6600,220,28,1214,18
6748,223,27,1214,18
6896,203,26,1214,18
7044,241,19,1208,19
7191,236,27,1214,18
7339,183,29,1214,18
7486,196,23,1213,18
7633,249,27,1214,18
7781,193,27,1214,18
7928,187,28,1214,18
8077,179,30,1214,18
8224,187,28,1208,18
8372,198,26,1214,18
8519,196,27,1214,18
8667,225,23,1214,18
8814,241,26,1214,18
8962,249,27,1214,18
9110,191,28,1214,18
9257,285,26,1208,18
9405,226,27,1208,18
9552,195,23,1214,18
9700,214,28,1214,18
9847,190,28,1214,18
9995,185,22,1214,19
10142,190,28,1214,18
10291,199,27,1208,18
10438,252,26,1208,18
10586,186,28,1214,18
10733,200,20,1214,18
10881,190,28,1214,18
11028,190,24,1214,18
11175,191,22,1214,18
11324,235,27,1214,18
11471,238,27,1208,18
11619,248,27,1214,18
11766,195,27,1214,18
11914,200,26,1214,18
12061,200,26,1214,18
12209,235,29,1214,18
12357,195,27,1208,18
12505,191,19,1208,18
12652,235,27,1214,18
12800,201,26,1213,18
12947,197,26,1214,18
13094,190,28,1214,18
13242,191,24,1214,18
13390,191,28,1208,18
13538,254,26,1208,18
13685,219,28,1214,18
13833,198,22,1214,18
13980,283,27,1214,18
14128,186,28,1214,18
14275,189,24,1214,18
14424,204,27,1214,18
14571,190,28,1208,18
14718,194,19,1214,18
14866,183,28,1214,18
15013,203,26,1214,18
15161,199,26,1214,18
15308,264,21,1214,18
15457,235,27,1214,18
15604,254,26,1208,18
15752,201,26,1214,18
15899,266,25,1214,18
16047,195,27,1214,18
16194,194,27,1214,18
16342,196,27,1214,18
16490,203,22,1214,18
16637,200,25,1208,18
16785,194,27,1214,18
16932,197,27,1214,18
17080,197,26,1214,18
17227,199,26,1214,18
17375,201,26,1214,18
17523,233,25,1214,18
17671,198,26,1208,18
17818,214,18,1208,18
17966,239,17,1214,18
18113,250,25,1214,18
18260,203,26,1214,18
18408,189,22,1214,18
18555,247,25,1214,18
18704,198,26,1214,18
18851,252,26,1208,18
18999,218,23,1214,18
19146,198,27,1214,18
19294,202,21,1214,18
19441,270,26,1214,18
19589,201,26,1214,18
19737,207,25,1214,18
19885,207,25,1208,18
20032,201,26,1214,18
20179,211,25,1214,18
20327,219,24,1214,18
20474,207,22,1214,18
20622,245,25,1214,18
20770,207,21,1214,18
20918,207,25,1208,18
21065,215,21,1210,18
21213,206,20,1214,18
21360,211,21,1214,18
21508,212,24,1214,18
21655,201,22,1214,18
21804,255,21,1213,18
21951,198,26,1208,18
22098,209,25,1214,18
22246,199,26,1214,18
22393,215,24,1214,18
22541,206,25,1214,18
22688,199,26,1214,18
22837,206,17,1214,18
22984,245,25,1208,18
23132,244,24,1214,18
23279,305,25,1214,18
23427,202,26,1214,18
23574,243,24,1214,18
23721,206,21,1214,18
23870,194,23,1214,18
24017,236,22,1208,18
24165,304,25,1214,18
24312,241,24,1214,18
24460,212,25,1214,18
24607,202,26,1214,18
24755,259,20,1214,18
24902,202,26,1214,18
25051,200,26,1208,19
25198,202,26,1208,18
25346,256,26,1214,18
25493,241,26,1214,18
25640,197,26,1214,18
25788,215,24,1214,18
25935,239,26,1214,18
26084,203,26,1214,18
26231,206,24,1208,18
26379,200,26,1214,18
26526,264,21,1214,18
26674,256,24,1214,18
26821,206,21,1214,18
26969,203,26,1214,18
27117,205,21,1214,18
27265,212,25,1208,18
27412,223,24,1214,18
27559,202,25,1214,18
27707,211,20,1214,18
27854,245,21,1214,18
28002,234,26,1214,18
28150,207,25,1214,18
28298,198,26,1208,18
28445,193,27,1214,18
28593,204,20,1214,18
28740,202,26,1214,18
28888,212,25,1214,18
29035,271,21,1214,18
29184,202,25,1214,19
29331,254,25,1208,18
29478,201,26,1208,18
29626,198,26,1214,18
29773,244,26,1214,18
29921,206,25,1214,18
30068,212,25,1214,18
30216,208,25,1214,18
30364,230,28,1214,18
30512,275,26,1208,18
