timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
548,347,17,1068,16
697,292,17,1068,16
844,290,16,1068,16
992,295,17,1068,16
1139,294,15,1067,16
1287,291,14,1068,16
1434,330,17,1068,16
1582,289,16,1068,16
1730,290,16,1068,16
1878,291,17,1062,16
2025,303,17,1068,16
2172,290,17,1068,16
2320,331,15,1068,16
2467,292,17,1068,16
2615,289,17,1068,16
2763,290,17,1068,16
2911,329,17,1068,16
3058,291,15,1068,16
3206,294,15,1068,16
3353,331,15,1068,16
3501,290,17,1068,16
3648,294,14,1068,16
3796,289,17,1068,16
3944,346,16,1068,16
4091,295,15,1068,16
4239,314,15,1068,16
4386,333,17,1068,16
4534,329,17,1068,16
4681,290,17,1068,16
4830,290,17,1062,16
4977,292,17,1068,16
5125,290,13,1068,16
5272,379,15,1068,16
5420,319,17,1068,16
5567,322,17,1068,16
5715,292,17,1068,16
5863,290,14,1068,16
6010,290,17,1068,16
6158,294,15,1068,16
6305,312,17,1068,16
6453,350,17,1068,16
6600,290,14,1068,16
6749,298,17,1068,16
6896,294,17,1068,16
7044,316,15,1068,16
7191,332,17,1068,16
7339,290,17,1067,16
7486,291,17,1068,16
7634,291,17,1068,16
7782,290,17,1062,16
7929,333,17,1068,16
8077,331,16,1068,16
8224,290,17,1068,16
8372,328,17,1068,16
8519,289,17,1068,16
8668,315,17,1068,16
8815,340,17,1062,16
8963,292,17,1068,16
9110,393,17,1068,16
9257,290,17,1068,16
9405,295,15,1068,16
9552,295,15,1068,16
9700,333,15,1068,16
9848,290,17,1062,16
9996,290,12,1068,16
10143,306,16,1068,16
10291,295,14,1068,16
10438,315,17,1068,16
10586,290,14,1068,16
10734,291,17,1068,16
10882,291,15,1064,16
11029,370,17,1068,16
11176,292,17,1068,16
11324,290,17,1068,16
11471,321,17,1068,16
11619,290,17,1068,16
11767,292,17,1068,16
11915,331,17,1068,16
12062,289,17,1068,16
12210,333,17,1068,16
12357,294,17,1068,16
12505,291,17,1068,16
12652,291,17,1068,16
12801,290,17,1067,16
12948,331,17,1068,16
13095,289,17,1068,16
13243,290,17,1068,16
13390,291,17,1068,16
13538,290,15,1068,16
13685,294,15,1068,16
13834,338,15,1068,16
13981,289,17,1068,16
14129,289,17,1068,16
14276,289,15,1068,16
14424,296,17,1068,16
14571,289,14,1068,16
14718,290,13,1068,16
14867,331,17,1068,16
15014,328,17,1068,16
15162,289,17,1068,16
15309,289,17,1068,16
15457,296,17,1068,16
15604,295,17,1068,16
15752,290,15,1068,16
15900,291,17,1062,16
16048,292,17,1068,16
16195,340,17,1068,16
16343,295,17,1068,16
16490,296,17,1068,16
16637,290,17,1068,16
16786,288,15,1068,16
16933,294,15,1068,16
17081,290,17,1068,16
17228,346,17,1068,16
17376,290,17,1068,16
17523,291,15,1068,16
17671,292,17,1068,16
17819,343,15,1068,16
17967,290,17,1068,16
18114,296,17,1068,16
18262,298,15,1068,16
18409,290,14,1068,16
18556,333,17,1068,16
18705,289,17,1068,16
18852,330,17,1062,16
19000,289,17,1068,16
19147,289,14,1068,16
19295,290,16,1068,16
19442,293,15,1068,16
19590,312,17,1068,16
19738,294,14,1068,16
19886,295,15,1068,16
20033,291,17,1068,16
20180,295,17,1068,16
20328,290,13,1068,16
20475,294,14,1068,16
20623,289,17,1068,16
20771,289,17,1062,16
20919,290,17,1068,16
21066,289,17,1068,16
21214,351,15,1068,16
21361,392,17,1068,16
21509,290,14,1068,16
21657,294,17,1068,16
21805,320,17,1068,16
21952,290,17,1068,16
22099,290,16,1068,16
22247,337,17,1068,16
22394,294,17,1068,16
22543,289,14,1068,16
22690,297,17,1062,16
22838,290,17,1068,16
22985,289,14,1068,16
23133,290,17,1068,16
23280,292,17,1068,16
23428,289,17,1068,16
23576,293,17,1068,16
23724,290,16,1068,16
23871,290,16,1068,16
24018,294,13,1068,16
24166,289,17,1068,16
24313,292,17,1068,16
24462,294,17,1068,16
24609,290,17,1068,16
24757,324,17,1068,16
24904,320,15,1068,16
25052,288,17,1068,16
25199,288,17,1068,16
25347,297,17,1068,16
25495,316,17,1068,16
25643,290,17,1067,16
25790,292,15,1068,16
25937,330,17,1068,16
26085,318,17,1068,16
26232,318,17,1068,16
26381,290,14,1068,16
26528,328,17,1068,16
26676,290,13,1068,16
26823,336,17,1068,16
26971,294,17,1068,16
27118,345,17,1068,16
27266,302,14,1068,16
27414,290,14,1068,16
27561,295,17,1068,16
27709,330,17,1068,16
27856,293,17,1068,16
28004,291,17,1068,16
28151,290,17,1068,16
28300,351,17,1068,16
28447,290,15,1068,16
28595,294,17,1068,16
28742,292,17,1068,16
28890,294,17,1068,16
29037,290,16,1068,16
29185,290,16,1068,16
29333,290,17,1068,16
29480,347,15,1068,16
29628,335,16,1068,16
29775,289,17,1068,16
29923,333,17,1068,16
30070,311,17,1068,16
30218,359,17,1068,16
30366,345,15,1062,16
30514,334,17,1068,16
