start_timestamp,end_timestamp,IR_mean,IR_variance,IR_std,US_TOF_us_mean,IR_distance_mean_cm
510,3314,153.7,934.3100000000001,30.56648491403616,1358.2,37.05
658,3463,153.75,932.3875,30.535020877674214,1358.5,37.05
805,3610,153.6,937.8399999999999,30.624173458233937,1358.2,37.3
953,3758,152.75,955.9875,30.919047527373802,1357.9,37.9
1100,3905,156.25,1001.4875,31.646287301988522,1357.6,38.7
1249,4052,157.7,1081.31,32.883278425363855,1357.6,38.55
1396,4200,161.95,1223.0475,34.97209601954106,1357.6,38.65
1544,4347,158.85,1163.5274999999997,34.11051890546375,1357.9,38.65
1691,4495,162.6,1214.3399999999997,34.84738153721165,1358.2,38.35
1839,4643,165.6,1183.7400000000002,34.405522812478814,1358.2,39.05
1986,4791,164.15,1213.8274999999999,34.84002726749794,1357.9,39.1
2134,4938,159.2,997.7600000000002,31.587339235839416,1357.55,39.05
2282,5086,159.25,995.5875,31.552931717987793,1357.25,38.55
2429,5233,158.6,1026.0400000000002,32.03185914054943,1357.25,37.9
2577,5381,160.05,991.7475000000001,31.492022799432874,1357.55,37.9
2724,5528,163.3,1023.1099999999999,31.986090727064475,1357.85,38.95
2872,5676,162.25,960.6875,30.994959267597046,1358.15,39.7
3019,5824,165.0,1020.5,31.945265689926575,1358.15,39.65
3167,5971,165.1,1014.29,31.847919869278748,1357.8,40.2
3314,6119,162.1,981.8900000000003,31.335124062304274,1357.5,39.4
3463,6266,161.75,1005.2875,31.706269096189796,1357.2,39.0
3610,6414,163.55,970.5474999999999,31.153611347643146,1357.2,38.95
3758,6561,163.55,970.5474999999999,31.153611347643146,1357.5,38.95
3905,6709,166.3,951.71,30.84979740614191,1357.8,38.95
4052,6856,166.05,938.0474999999999,30.627561117398816,1358.1,39.05
4200,7004,164.5,881.55,29.69090769915935,1358.1,39.3
4347,7152,161.9,726.5899999999999,26.955333424018335,1358.1,39.35
4495,7300,164.6,741.4399999999999,27.22939588018801,1357.8,39.3
4643,7447,160.6,722.2400000000001,26.874523251585323,1357.5,38.55
4791,7595,159.45,682.0475,26.116039133069165,1357.5,38.6
