timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
510,134,42,1354,20
658,137,37,1360,20
805,151,30,1360,20
953,126,27,1360,20
1100,170,41,1360,20
1249,134,42,1360,20
1396,201,41,1354,20
1544,130,44,1354,20
1691,129,27,1360,20
1839,169,40,1360,20
1986,233,42,1360,20
2134,137,41,1360,20
2282,142,39,1360,20
2429,133,42,1354,20
2577,134,26,1354,20
2724,203,25,1354,20
2872,147,39,1360,20
3019,133,32,1360,20
3167,199,42,1360,20
3314,132,42,1360,20
3463,135,42,1360,20
3610,134,42,1354,20
3758,134,42,1354,20
3905,196,43,1354,20
4052,199,38,1360,20
4200,219,44,1360,20
4347,139,41,1360,20
4495,205,38,1360,20
4643,189,41,1360,20
4791,140,41,1354,20
4938,134,41,1353,20
5086,138,31,1354,20
5233,129,26,1360,20
5381,162,42,1360,20
5528,199,47,1360,20
5676,182,40,1360,20
5824,202,38,1360,20
5971,135,43,1353,20
6119,139,26,1354,20
6266,125,34,1354,20
6414,171,41,1360,20
6561,134,42,1360,20
6709,189,42,1360,20
6856,191,45,1360,20
7004,168,43,1360,20
7152,167,45,1360,20
7300,193,40,1354,20
7447,125,23,1354,20
7595,166,42,1360,20
7742,129,44,1360,20
7889,137,41,1360,20
8037,135,31,1360,20
8184,146,37,1360,20
8333,131,44,1354,20
8480,134,32,1354,20
8628,171,31,1354,20
8775,136,32,1360,20
8923,140,40,1360,20
9070,182,41,1360,19
9218,130,43,1360,20
9366,134,42,1360,20
9513,138,40,1354,20
9661,138,32,1354,20
9808,138,34,1354,20
9956,147,39,1360,20
10103,199,40,1360,20
10251,136,41,1360,20
10398,138,40,1360,20
10547,138,27,1360,20
10694,226,43,1354,20
10842,138,26,1354,20
10989,192,43,1360,20
11137,129,43,1360,20
11284,138,32,1360,20
11431,136,42,1360,20
11580,139,40,1360,20
11727,228,43,1353,20
11875,177,45,1354,20
12022,195,42,1354,20
12170,139,40,1360,20
12317,130,43,1360,20
12465,130,44,1360,20
12612,132,33,1360,20
12761,165,44,1360,20
12908,195,27,1354,20
13056,133,42,1354,20
13203,157,41,1360,20
13350,139,40,1360,20
13498,139,38,1360,20
13645,177,41,1360,20
13794,134,42,1360,20
13941,125,33,1354,20
14089,128,45,1354,20
14236,137,37,1354,20
14384,167,42,1360,20
14531,138,40,1360,20
14679,133,22,1360,20
14826,142,26,1360,20
14974,134,34,1360,20
15122,171,46,1354,20
15269,135,42,1354,20
15417,137,42,1360,20
15564,134,42,1360,19
15712,188,42,1360,20
15859,174,30,1360,20
16008,134,33,1360,20
16155,129,43,1354,20
16303,179,44,1354,20
16450,139,29,1354,20
16598,130,43,1360,20
16745,203,41,1360,20
16892,162,34,1360,20
17040,136,33,1360,20
17188,133,42,1360,20
17336,125,45,1354,19
17483,138,35,1354,20
17631,139,40,1360,20
17778,132,43,1360,20
17926,139,31,1361,20
18073,165,43,1360,19
18222,134,30,1360,19
18369,154,46,1354,20
18516,197,41,1354,20
18664,134,41,1354,20
18811,134,42,1360,20
18959,139,22,1360,20
19106,164,43,1360,20
19254,195,43,1360,20
19402,134,42,1360,20
19550,140,40,1354,20
19697,143,24,1354,20
19845,130,37,1360,20
19992,140,31,1360,20
20140,172,40,1360,20
20287,135,41,1360,20
20435,210,37,1360,20
20583,134,42,1354,20
20730,147,37,1354,19
20878,137,42,1354,20
21025,135,32,1360,20
21173,162,44,1360,20
21320,196,42,1360,20
21468,134,41,1360,20
21616,130,43,1360,20
21764,125,44,1354,20
21911,174,28,1354,20
22059,127,45,1354,19
22206,141,31,1360,20
22353,168,42,1360,20
22501,128,45,1360,20
22648,134,43,1360,20
22797,126,45,1360,20
22944,134,28,1354,20
23092,200,40,1354,20
23239,137,32,1354,20
23387,167,41,1360,20
23534,135,41,1360,20
23682,125,44,1360,20
23829,130,43,1360,20
23977,126,47,1360,20
24125,132,43,1354,20
24272,135,41,1354,20
24420,210,31,1354,20
24567,130,44,1360,20
24715,134,33,1360,20
24862,187,30,1360,20
25010,189,42,1360,20
25158,130,43,1360,20
25306,130,43,1354,19
25453,136,32,1354,20
25601,171,33,1360,20
25748,202,41,1360,20
25895,133,42,1360,20
26043,134,42,1360,20
26191,135,38,1360,20
26339,126,44,1354,20
26486,135,32,1354,20
26634,137,41,1361,20
26781,134,26,1360,20
26929,130,42,1360,20
27076,204,41,1360,20
27225,135,41,1360,20
27372,138,26,1354,20
27520,213,25,1353,20
27667,137,40,1360,20
27814,168,42,1360,20
27962,130,41,1360,20
28109,140,40,1360,20
28258,131,42,1360,20
28405,140,31,1354,20
28553,164,33,1354,20
28700,141,40,1354,20
28848,130,43,1360,20
28995,137,41,1360,20
29143,183,40,1360,20
29290,138,41,1360,20
29438,217,40,1360,20
29586,136,41,1354,20
29733,129,45,1354,20
29881,170,39,1360,20
30028,201,42,1360,19
30176,136,32,1360,20
30324,135,41,1361,20
30472,149,29,1354,20
