timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
526,383,12,3579,87
672,346,13,3579,87
820,397,13,3573,88
967,343,12,3573,87
1115,392,14,3579,87
1261,339,15,3579,87
1409,408,13,3572,88
1556,393,14,3573,88
1702,347,12,3580,87
1850,378,13,3579,88
1997,341,15,3573,88
2145,340,12,3579,88
2291,342,12,3579,88
2439,384,15,3573,88
2586,346,14,3574,87
2733,344,13,3579,87
2880,384,13,3579,88
3027,345,14,3572,88
3175,341,15,3573,87
3321,341,14,3579,87
3469,341,15,3573,88
3616,339,15,3573,88
3764,343,15,3579,88
3910,340,11,3579,88
4058,345,14,3573,88
4205,347,14,3573,88
4352,378,14,3578,88
4499,402,14,3573,88
4646,345,14,3573,88
4794,373,14,3579,88
4940,344,14,3579,88
5088,339,12,3573,88
5235,343,14,3573,88
5382,339,12,3579,88
5529,340,15,3573,88
5677,345,14,3572,88
5823,340,15,3579,88
5970,339,12,3579,89
6118,378,14,3573,89
6265,370,15,3578,89
6412,393,14,3578,89
6559,338,14,3572,88
6707,338,15,3572,89
6853,376,14,3579,89
7001,360,12,3572,89
7148,343,14,3572,88
7294,344,14,3579,89
7442,339,13,3579,89
7589,346,14,3572,88
7737,343,13,3579,88
7883,344,14,3579,89
8031,338,14,3572,88
8178,339,13,3573,89
8325,340,15,3578,89
8472,338,14,3573,88
8620,377,12,3572,89
8766,380,14,3579,89
8913,395,12,3579,89
9061,339,13,3572,89
9208,345,14,3579,89
9355,346,14,3578,89
9502,367,13,3573,89
9650,357,13,3572,89
9796,340,15,3579,89
9944,402,14,3572,90
10091,339,13,3572,90
10237,395,14,3579,90
10385,343,14,3578,90
10532,340,14,3572,90
10680,343,14,3578,90
10826,344,14,3578,90
10974,345,14,3572,90
11121,339,15,3573,90
11268,397,14,3578,90
11415,435,14,3572,91
11563,340,13,3572,91
11709,343,14,3578,90
11856,388,14,3572,90
12004,368,14,3572,90
12150,400,15,3578,90
12298,377,14,3572,90
12445,396,14,3572,90
12592,344,14,3578,90
12739,409,14,3578,91
12887,339,14,3572,90
13034,343,13,3578,90
13180,380,13,3578,91
13328,342,15,3572,90
13475,344,14,3578,90
13622,341,14,3579,90
13769,343,14,3572,91
13917,347,14,3571,90
14063,380,14,3578,90
14211,362,13,3572,90
14358,351,13,3572,90
14504,341,14,3579,90
14652,371,14,3573,90
14799,365,14,3573,90
14946,344,14,3579,90
15093,340,15,3578,90
15241,373,14,3572,90
15388,345,14,3578,90
15535,347,13,3578,90
15682,343,14,3572,91
15830,342,12,3578,90
15976,340,13,3578,90
16123,343,12,3572,90
16271,342,12,3572,90
16417,383,13,3578,90
16565,381,14,3572,90
16712,344,15,3572,90
16859,339,13,3578,90
17006,339,15,3572,91
17154,343,14,3572,90
17300,349,14,3579,90
17447,345,14,3578,90
17595,360,15,3572,90
17742,397,14,3578,90
17889,339,14,3578,90
18036,343,14,3572,90
18184,342,13,3578,90
18330,380,14,3578,90
18478,339,15,3572,90
18625,381,13,3572,90
18771,348,14,3578,90
18919,343,12,3572,91
19066,343,13,3573,90
19213,339,15,3578,90
19360,345,14,3572,90
19508,345,13,3572,90
19654,344,14,3578,90
19802,346,14,3571,90
19949,398,13,3573,90
20096,343,14,3578,90
20243,343,14,3572,90
20390,342,12,3572,90
20537,343,14,3578,90
20684,339,13,3578,90
20832,340,12,3572,90
20979,343,14,3578,90
21126,368,14,3578,90
21273,339,11,3572,90
21421,344,13,3577,90
21567,344,14,3577,90
21714,343,12,3571,90
21862,343,14,3578,90
22008,346,14,3578,90
22156,370,13,3572,90
22303,404,14,3574,90
22450,342,15,3578,90
22597,340,11,3571,90
22745,343,14,3578,90
22891,339,14,3577,90
23038,339,15,3572,90
23186,342,14,3572,90
23332,375,14,3578,91
23480,342,12,3572,90
23627,386,14,3572,91
23774,343,14,3578,90
23921,343,12,3572,90
24069,364,12,3571,90
24215,342,14,3578,90
24363,347,14,3572,91
24510,344,14,3572,90
24656,382,14,3578,90
24804,342,13,3572,90
24951,345,13,3572,90
25098,341,12,3578,90
25245,339,12,3578,90
25393,343,12,3572,90
25540,395,15,3578,90
25687,344,12,3578,90
25834,343,14,3571,90
25981,340,15,3578,90
26128,343,14,3578,90
26275,342,12,3572,90
26423,337,13,3578,90
26569,348,14,3578,90
26717,368,14,3572,90
26864,338,15,3572,90
27011,344,13,3578,90
27158,349,14,3572,90
27305,342,14,3572,90
27452,346,14,3577,90
27599,391,14,3572,90
27747,383,14,3572,90
27893,340,15,3578,90
28041,349,14,3572,90
28188,339,12,3572,90
28335,342,15,3578,90
28482,339,14,3572,90
28630,344,14,3572,90
28776,344,12,3577,90
28923,345,14,3572,90
29071,381,13,3572,90
29217,339,14,3578,90
29365,349,14,3578,90
29512,441,14,3572,90
29660,342,15,3579,90
29806,340,15,3578,90
29954,378,15,3572,90
30101,345,14,3578,90
30247,349,14,3578,90
30395,377,14,3572,90
