start_timestamp,end_timestamp,IR_mean,IR_variance,IR_std,US_TOF_us_mean,IR_distance_mean_cm
535,3341,302.45,402.74750000000006,20.06856995403509,922.55,16.2
683,3488,299.7,317.90999999999997,17.830030846860584,922.55,16.2
830,3636,299.85,315.42750000000007,17.760278714029237,922.55,16.25
978,3783,299.8,316.06,17.778076386381063,922.55,16.2
1126,3931,299.45,320.34749999999997,17.898254104800277,922.55,16.2
1273,4078,299.6,317.94000000000005,17.830872104302696,922.55,16.2
1421,4227,300.9,327.69,18.102209809854706,922.85,16.2
1568,4374,298.75,277.4875,16.65795605709176,922.85,16.2
1717,4521,301.45,363.3475,19.06167621170814,922.85,16.25
1864,4669,298.9,280.09000000000003,16.73588957898564,922.55,16.25
2012,4816,296.3,184.41,13.57976435730753,922.55,16.35
2159,4964,299.0,288.9,16.997058569058353,922.55,16.5
2307,5112,299.05,288.0475,16.971962172948654,922.55,16.55
2454,5260,302.05,404.74750000000006,20.118337406455833,922.55,16.65
2603,5407,301.9,407.89,20.196286787427038,922.55,16.5
2750,5555,301.85,409.02750000000003,20.224428298471135,922.6,16.35
2897,5702,301.9,407.89,20.196286787427038,922.6,16.35
3045,5851,304.55,478.24749999999995,21.86887056983053,922.9,16.2
3192,5998,307.05,534.2475,23.1137945824566,922.9,16.1
3341,6146,309.95,600.9475,24.51423056104352,922.9,16.1
3488,6293,308.5,611.75,24.733580412063272,922.6,16.15
3636,6440,308.55,609.8475000000001,24.695090605219495,922.6,16.15
3783,6588,308.35,616.8275000000001,24.836012159765104,922.6,16.15
3931,6736,308.35,616.8275000000001,24.836012159765104,922.6,16.2
4078,6884,308.55,610.2475000000001,24.703188053366716,922.6,16.2
4227,7031,308.4,615.34,24.80604764971639,922.6,16.15
4374,7179,307.2,622.0600000000001,24.94113068808229,936.9,16.0
4521,7327,307.6,611.3399999999999,24.725290695965537,951.2,16.15
4669,7475,305.8,545.46,23.355085099395378,965.85,16.25
4816,7622,305.9,542.69,23.295707759155977,980.45,16.25
4964,7770,305.95,541.1475,23.262577243289275,980.45,16.25
5112,7918,304.85,480.42750000000007,21.918656436926057,994.95,16.1
5260,8066,304.8,481.86,21.95130975591206,1009.55,15.95
5407,8213,304.15,431.12749999999994,20.763609994410892,1009.55,15.95
5555,8360,304.3,427.31000000000006,20.671477934584168,1009.55,16.1
5702,8508,304.35,425.92749999999995,20.638011047579173,1009.55,16.15
5851,8656,304.3,427.30999999999995,20.671477934584164,1009.55,16.05
5998,8804,303.65,385.02750000000003,19.6221176227236,1009.25,16.2
6146,8951,301.1,312.98999999999995,17.6915233939873,1009.25,16.15
6293,9099,298.65,192.32750000000004,13.868219063744272,1009.25,16.0
6440,9246,301.25,280.9875,16.762681766352305,1009.25,16.0
6588,9394,301.2,282.16,16.79761887887685,1009.25,15.95
6736,9542,301.4,278.04,16.674531477675767,1009.25,15.95
6884,9690,303.0,299.8,17.314733610425545,1009.25,15.95
7031,9837,302.95,300.7475,17.34207311713337,1009.25,15.9
7179,9985,303.0,299.5,17.30606829987678,1009.25,15.95
7327,10132,302.9,301.69,17.369225659193905,994.65,16.1
7475,10280,302.55,307.4475,17.534180904735756,980.65,16.1
7622,10428,303.8,348.26000000000005,18.661725536509213,966.0,15.95
7770,10575,306.3,413.01000000000005,20.322647465327936,951.4,15.95
7918,10723,306.2,416.25999999999993,20.40245083317198,951.4,15.95
8066,10870,304.5,417.45,20.43159318310738,936.9,16.15
8213,11018,304.5,417.45,20.43159318310738,922.3,16.2
8360,11166,302.0,373.7,19.33132173442882,922.3,16.25
8508,11314,302.6,369.74,19.228624495787525,922.3,16.25
8656,11461,303.5,364.25,19.085334683992315,922.3,16.25
8804,11609,305.0,366.5,19.144189719076646,922.3,16.35
8951,11756,302.9,345.28999999999996,18.581980518771402,922.3,16.35
9099,11905,305.35,401.02750000000003,20.025671024961937,922.25,16.55
9246,12052,307.25,449.2875,21.196402996735085,922.25,16.7
9394,12199,304.45,398.0475,19.951127787671552,922.25,16.6
9542,12347,304.3,403.11,20.077599458102554,922.25,16.55
9690,12494,303.95,413.3475,20.33094931379251,922.25,16.6
9837,12642,302.0,403.5,20.087309426600665,922.25,16.5
9985,12790,303.15,407.9275,20.1972151545702,922.55,16.55
10132,12938,304.6,412.64000000000004,20.313542280951395,922.55,16.6
10280,13085,305.05,404.24750000000006,20.10590709219557,922.55,16.6
10428,13233,306.95,419.44750000000005,20.480417476213713,922.25,16.45
10575,13380,304.85,398.02750000000003,19.950626556577117,922.25,16.6
10723,13528,302.2,329.2600000000001,18.14552286378103,922.25,16.6
10870,13676,302.05,333.6475,18.266020365695425,922.55,16.65
11018,13824,302.75,323.2875,17.98019744051772,922.55,16.6
11166,13971,304.85,353.52750000000003,18.80232698364753,922.55,16.7
11314,14118,304.8,355.36,18.850994668717085,922.55,16.6
11461,14266,303.9,370.39,19.245518958968084,922.55,16.6
11609,14413,302.75,383.7875,19.59049514432956,922.55,16.7
11756,14562,306.05,704.5475,26.543313658998947,922.55,16.55
11905,14709,308.75,745.5875,27.305448174311294,922.55,16.45
12052,14857,306.2,709.7600000000001,26.641321288554742,922.6,16.4
12199,15004,303.8,666.5600000000002,25.817823300967884,922.6,16.35
