timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
535,344,17,922,20
683,290,16,922,21
830,294,17,922,20
978,297,17,922,20
1126,290,17,922,21
1273,291,17,922,20
1421,333,14,922,20
1568,289,14,922,20
1717,342,17,928,20
1864,342,15,922,20
2012,290,14,922,20
2159,290,16,922,20
2307,290,15,922,20
2454,293,17,922,20
2603,291,17,921,21
2750,290,17,922,20
2897,290,17,922,20
3045,292,17,922,20
3192,291,17,922,20
3341,320,16,928,21
3488,289,17,922,20
3636,293,17,922,20
3783,293,16,922,20
3931,290,17,922,20
4078,293,17,922,20
4227,317,17,928,20
4374,290,14,922,20
4521,343,15,922,20
4669,291,17,922,20
4816,290,17,922,20
4964,344,17,922,20
5112,291,17,922,20
5260,350,17,922,20
5407,290,14,922,21
5555,290,14,922,20
5702,291,17,922,21
5851,343,14,928,20
5998,342,15,922,20
6146,349,17,922,20
6293,291,17,922,21
6440,290,17,922,20
6588,289,17,922,20
6736,293,17,922,21
6884,294,17,922,20
7031,290,16,922,20
7179,293,14,1214,24
7327,298,17,1208,24
7475,307,17,1215,24
7622,293,17,1214,24
7770,291,17,922,21
7918,322,14,1212,24
8066,290,14,1214,24
8213,337,17,922,21
8360,293,17,922,20
8508,291,15,922,20
8656,290,15,922,21
8804,330,17,922,20
8951,291,14,922,20
9099,300,14,922,20
9246,343,17,922,20
9394,289,16,922,20
9542,293,17,922,20
9690,325,17,922,20
9837,293,16,922,20
9985,291,17,922,20
10132,291,17,922,20
10280,291,17,928,20
10428,332,14,922,20
10575,343,17,922,20
10723,289,17,922,20
10870,288,18,922,20
11018,290,15,922,20
11166,287,18,922,20
11314,305,17,922,20
11461,309,15,922,20
11609,320,17,922,20
11756,288,17,922,20
11905,340,18,921,20
12052,338,17,922,20
12199,287,15,922,20
12347,286,15,922,20
12494,286,18,922,20
12642,286,15,922,20
12790,316,17,928,20
12938,320,18,922,20
13085,300,17,922,20
13233,329,14,922,20
13380,290,17,922,20
13528,290,17,922,20
13676,286,18,928,21
13824,302,17,922,20
13971,332,17,922,20
14118,286,16,922,20
14266,287,17,922,20
14413,286,17,922,20
14562,386,14,922,20
14709,342,15,922,20
14857,289,17,922,20
15004,290,16,922,20
15152,289,16,922,20
15300,287,17,922,20
15448,291,17,922,20
15595,293,17,922,20
15742,292,14,922,20
15890,343,17,922,20
16037,349,17,922,20
16186,290,16,928,20
16333,291,17,922,20
16481,346,17,922,20
16628,291,17,922,20
16776,290,17,922,20
16924,292,14,928,20
17072,383,17,922,20
17219,290,17,922,20
17367,290,17,1214,24
17515,292,17,1215,24
17662,290,16,1208,24
17810,342,17,1215,24
17957,291,17,1214,24
18105,289,17,1214,25
18252,292,17,1215,24
18401,290,17,1214,24
18548,290,17,1208,24
18696,349,17,1215,24
18843,290,17,1214,24
18991,359,14,922,24
19139,291,13,922,20
19287,293,17,922,20
19434,353,16,922,20
19581,290,17,1214,20
19730,324,14,1215,24
19877,291,17,922,20
20025,290,16,1214,24
20172,294,17,1214,24
20321,293,17,1209,24
20468,291,15,1214,24
20616,342,15,1214,25
20763,344,17,1215,24
20911,290,15,1215,24
21058,286,16,922,20
21207,289,14,928,20
21354,289,17,922,20
21501,287,17,922,20
21649,286,18,922,20
21796,290,17,922,21
21944,290,17,922,20
22092,290,17,928,20
22240,371,15,922,20
22387,323,17,922,20
22535,339,17,922,20
22682,290,17,922,21
22830,289,17,922,20
22978,290,16,922,20
23126,290,17,922,20
23273,296,14,922,20
23420,342,15,922,20
23568,290,17,922,20
23716,291,16,928,20
23864,290,17,922,20
24011,290,17,922,20
24159,290,15,922,20
24306,293,17,922,20
24454,344,14,922,20
24602,343,15,922,20
24750,348,17,922,20
24897,357,17,922,21
25044,290,15,922,20
25192,322,17,922,20
25340,291,17,928,20
25488,291,17,922,20
25635,290,12,922,20
25783,342,14,922,20
25930,289,16,922,20
26078,292,17,922,21
26226,292,17,922,20
26374,296,16,922,20
26521,293,17,922,20
26669,290,17,922,20
26816,292,14,922,20
26964,290,17,928,20
27112,291,17,922,21
27259,289,17,922,20
27407,331,17,922,20
27554,290,17,922,20
27702,290,17,922,21
27850,290,17,928,21
27998,330,17,922,20
28145,292,14,922,20
28293,349,17,922,21
28440,289,17,922,21
28588,294,17,922,20
28736,316,17,922,20
28883,317,17,922,20
29031,290,17,922,20
29178,291,15,922,20
29326,344,14,922,20
29474,342,14,928,20
29622,346,17,922,20
29769,293,17,922,21
29917,341,17,922,20
30064,291,15,922,20
30213,291,17,922,20
30360,290,17,922,20
30508,355,14,922,20
