start_timestamp,end_timestamp,IR_mean,IR_variance,IR_std,US_TOF_us_mean,IR_distance_mean_cm
516,3323,290.0,740.4,27.210292170426982,1941.35,18.15
664,3471,296.4,1096.24,33.10951524864114,1941.35,18.4
812,3619,296.85,1118.6275,33.445889134540884,1941.35,18.55
959,3767,296.65,1132.5275,33.65304592455191,1941.4,18.55
1107,3914,296.75,1125.1875,33.54381463101655,1941.4,18.5
1255,4063,296.75,1125.1875,33.54381463101655,1941.4,18.5
1402,4210,294.35,1204.6274999999996,34.707744092637306,1941.4,18.7
1551,4358,294.3,1208.01,34.75643825250223,1941.4,18.75
1698,4506,296.45,1169.8475,34.20303349119782,1941.4,18.95
1846,4654,296.65,1179.2275000000002,34.33988206153306,1941.35,18.9
1993,4801,299.75,1134.5875,33.683638461425154,1941.3,19.0
2142,4948,299.6,1145.14,33.83991725758206,1941.25,19.15
2289,5097,299.45,1156.2475,34.003639511087634,1941.25,19.2
2437,5244,299.5,1158.35,34.034541277942914,1941.25,19.2
2585,5392,296.35,1192.5275,34.53299147192435,1941.3,19.2
2733,5540,293.6,1250.14,35.357318902880635,1941.35,19.25
2880,5688,293.85,1255.0275,35.42636729894839,1941.35,19.25
3028,5835,290.6,1272.7400000000002,35.675481776704856,1941.4,19.1
3176,5984,291.25,1235.7875,35.153769356926716,1941.45,19.1
3323,6131,289.6,1294.94,35.98527476621514,1941.45,19.1
3471,6279,290.3,1344.01,36.66074194557442,1941.45,19.15
3619,6426,283.8,915.6600000000001,30.25987442141821,1941.45,19.15
3767,6575,280.9,830.6899999999999,28.821693218823906,1941.4,19.15
3914,6722,280.75,837.3875,28.93764848773998,1941.35,19.3
4063,6870,280.75,837.3875,28.93764848773998,1941.3,19.3
4210,7018,277.6,753.44,27.44886154287642,1941.3,19.3
4358,7165,277.7,749.11,27.369873949289573,1941.3,19.3
4506,7313,277.35,763.8275,27.637429330529276,1941.25,19.3
4654,7461,274.8,731.0600000000001,27.03812123650606,1941.25,19.35
4801,7609,274.3,688.61,26.241379536906972,1941.3,19.4
4948,7756,271.15,576.6275,24.01306935816411,1941.35,19.45
5097,7904,271.05,578.4475,24.05093553273968,1941.4,19.35
5244,8056,273.05,614.2475,24.784017027108415,2176.7,19.15
5392,8205,272.45,563.5474999999999,23.739155418843357,2411.6,19.2
5540,8348,275.2,644.2600000000001,25.38227728159946,2443.0,19.1
5688,8496,274.95,654.5474999999999,25.584125937776335,2474.7,18.9
5835,8647,272.5,616.45,24.828411145298848,2709.95,18.7
5984,8796,274.1,615.49,24.809070921741508,2944.85,18.9
6131,8943,276.1,671.09,25.905404841461174,3172.2,18.9
6279,9091,276.15,669.1275000000002,25.86749891272831,3400.15,18.9
6426,9238,272.25,522.4875,22.85798547554005,3628.05,18.9
6575,9382,275.0,571.3,23.901882771028728,3659.4,18.9
