timestamp_ms,IR_raw,IR_distance_cm,US_pw_us,US_analog_raw
516,257,15,1941,26
664,317,16,1941,26
812,264,17,1940,26
959,259,20,1941,26
1107,324,19,1941,25
1255,303,16,1941,26
1402,261,19,1941,26
1551,265,15,1947,26
1698,318,20,1941,26
1846,260,17,1941,26
1993,266,16,1941,26
2142,264,19,1941,26
2289,320,19,1941,25
2437,324,19,1940,26
2585,312,19,1940,26
2733,301,19,1941,26
2880,322,19,1940,26
3028,256,20,1946,26
3176,289,20,1941,26
3323,318,19,1941,26
3471,385,20,1941,26
3619,326,19,1941,26
3767,260,17,1941,26
3914,261,19,1941,25
4063,324,19,1941,26
4210,255,20,1941,26
4358,260,20,1941,26
4506,308,19,1947,26
4654,322,19,1940,26
4801,322,19,1940,26
4948,263,19,1940,26
5097,261,20,1941,25
5244,321,19,1941,26
5392,261,19,1941,26
5540,257,20,1941,26
5688,306,19,1941,26
5835,257,16,1941,26
5984,269,20,1947,26
6131,256,20,1941,25
6279,332,20,1941,26
6426,255,20,1941,26
6575,268,19,1940,26
6722,257,20,1940,26
6870,261,19,1940,26
7018,261,19,1941,25
7165,257,20,1941,26
7313,253,20,1940,26
7461,257,20,1947,25
7609,312,20,1941,26
7756,259,20,1941,25
7904,261,17,1941,26
8056,301,16,6647,26
8205,309,20,6639,89
8348,316,17,2569,34
8496,252,16,2575,33
8647,257,15,6646,88
8796,289,20,6639,89
8943,309,20,6494,88
9091,257,20,6500,87
9238,254,20,6499,88
9382,310,20,2568,34
9530,257,15,2576,33
9678,254,20,2575,33
9826,260,19,2423,32
9973,298,20,2423,31
10121,276,20,2429,32
10268,258,20,2429,32
10417,261,18,2423,31
10564,262,18,2429,31
10712,299,20,2429,32
10860,264,19,2423,32
11008,256,19,2423,32
11155,291,19,2429,32
11302,270,20,2429,31
11451,310,20,2423,32
11598,256,20,2429,31
11746,300,20,2429,32
11894,262,19,2429,31
12042,256,16,2423,31
12189,262,19,2428,31
12337,261,19,2429,32
12485,263,19,2423,32
12633,276,16,2423,32
12780,274,20,2429,31
12929,299,20,2429,31
13076,263,19,2423,32
13223,253,16,2429,32
13371,261,20,2429,31
13523,259,20,6493,86
13670,261,19,5050,68
13818,263,18,6500,87
13967,256,20,6640,89
14112,314,18,5043,89
14262,314,17,6500,89
14409,324,16,6500,87
14556,257,20,5044,87
14704,312,18,5050,68
14853,258,20,6500,87
14999,341,16,5043,68
15149,256,20,6494,86
15295,266,19,5044,86
15444,254,20,6646,85
15592,256,20,6641,89
15738,257,20,5044,87
15886,305,16,5044,68
16035,256,20,6501,68
16183,257,13,6493,87
16330,261,19,6501,87
16479,287,20,6646,89
16626,266,16,6640,89
16774,322,20,6353,88
16920,257,20,5043,68
17068,362,20,5043,67
17215,257,19,5044,67
17364,249,20,6500,86
17511,261,20,5043,68
17660,265,13,6640,68
17808,260,17,6347,85
17955,269,19,6646,86
18104,304,17,6639,89
18251,265,19,6640,89
18396,269,20,3593,48
18544,271,17,3593,48
18692,252,20,3587,47
18839,257,18,3587,47
18987,257,20,3593,47
19137,319,20,6500,87
19286,311,20,6493,89
19433,259,17,6499,87
19578,255,20,3593,88
19725,258,16,3007,40
19872,261,16,3008,40
20021,256,17,3593,67
20171,291,18,6499,67
20320,280,20,6493,87
20467,306,18,6353,88
20615,255,16,6499,87
20763,315,20,6639,89
20907,261,19,3008,40
21058,256,17,6499,86
21202,262,20,3592,48
21351,256,19,3586,48
21501,257,20,6639,89
21649,338,16,6499,88
21796,311,20,6207,86
21941,379,20,3008,40
22089,349,20,3008,40
22237,312,18,3007,40
22384,257,15,3008,40
22532,257,20,3008,40
22680,256,16,3007,40
22828,258,20,3007,40
22975,256,20,3007,39
23122,301,19,3007,39
23271,257,16,3008,40
23418,281,20,3008,40
23566,258,20,3008,40
23714,313,17,3008,39
23865,275,17,6499,86
24012,250,20,6354,85
24161,253,20,6493,68
24308,304,20,6500,87
24456,284,19,6499,87
24604,261,19,6493,87
24748,253,16,3008,40
24896,256,20,3007,40
25043,316,20,3008,40
25191,317,19,3008,40
25339,258,17,3014,40
25487,260,18,3007,39
25634,254,20,3008,40
25782,257,16,3008,39
25930,296,20,3008,40
26078,257,20,3007,40
26225,261,17,3007,40
26372,293,15,1940,40
26521,310,14,3007,39
26668,287,20,1940,26
26815,318,19,1940,26
26962,258,16,1940,26
27111,257,14,1940,25
27258,254,20,1940,26
27406,256,20,1940,26
27554,260,20,1946,26
27702,256,20,1940,26
27849,262,19,1940,26
27997,296,19,1940,25
28145,257,20,1946,26
28293,262,20,1941,26
28440,260,20,1940,26
28588,260,19,1940,26
28736,261,19,1944,26
28883,261,16,1940,26
29031,262,17,1940,26
29178,307,18,1940,25
29327,259,20,1940,25
29474,257,20,1940,26
29622,253,20,1940,26
29769,259,14,1940,26
29918,263,15,1940,26
30065,263,19,1940,25
30213,260,15,1940,26
30360,262,19,1941,25
30509,307,17,1941,26
